MutationsType	ID83L1	ID83I1	ID83I2	ID83I3	ID83I4	ID83H1	ID83H2	ID83H3	ID83H4	ID83H5
2:Del:M:1	0.0159569	0.03154392	0.00037863	0.01321406	0.00386582	0.00285266	0.02485267	0.00900783	0.0331488	0.002497
3:Del:M:1	0.00310196	0.00706285	0.00044746	0.0029534	0.000116	0.00119058	0.00360571	0.00078846	0.00776574	0.00066315
3:Del:M:2	0.0063331	0.00137341	0.00296697	0.00080722	0.00041713	0.00049119	0.0016059	0.00098474	0.01743568	0.00013853
4:Del:M:1	0.00300404	0.00691985	0.00209951	0.00453046	0.00159642	0.00136448	0.00434144	0.00164143	0.01078246	0.00024168
4:Del:M:2	0.00503349	0.00033551	0.00209687	0.0018456	0.00045574	0.00032615	0.00217944	0.00005322	0.0120182	0.00010352
4:Del:M:3	0.00721841	0.00303016	0.00370916	0.00253487	0.00102783	0.00083686	0.00296809	0.00053563	0.01871314	0.00076657
5:Del:M:1	0.04893857	0.0025486	0.06463799	0.00251198	0.03870548	0.01142979	0.01563985	0.00289134	0.04651784	0.01883095
5:Del:M:2	0.03223607	0.00012296	0.01796649	0.00429147	0.0321478	0.00620796	0.00914074	0.00123164	0.02441091	0.01624359
5:Del:M:3	0.03018842	0.00244295	0.01215213	0.00389928	0.0433801	0.00336557	0.01176724	0.00007289	0.01933383	0.020754
5:Del:M:4	0.02618126	0.00014415	0.01268737	0.00171188	0.0392501	0.00263122	0.00957123	0.00104555	0.01060939	0.01818638
5:Del:M:5	0.21667836	0.00014989	0.00006017	0.00050084	0.70606064	0.00714154	0.0385021	0.00190311	0.00055734	0.80809015
