	SBS31_early	SBS31_clonal	SBS35_clonal	SBS31_late	SBS35_late	SBS31_subc	SBS35_subc	SBS31	SBS35	clo_total	wgs_total
zcc242	0.0	0.0	357.0	0.0	0.0	1473.0	2610.0	1572	2939	1830.0	4511
zcc279	0.0	0.0	839.0	0.0	4134.0	0.0	212.0	2655	0	4973.0	2655
zcc29	0.0	377.0	0.0	0.0	0.0	335.0	0.0	0	829	712.0	829
zcc3	0.0	0.0	1044.0	0.0	0.0	0.0	0.0	0	1640	1044.0	1640
zcc331	0.0	1332.0	810.0	2604.0	0.0	795.0	0.0	5220	0	5541.0	5220
zcc344	63.0	866.0	1175.0	1277.0	1601.0	430.0	0.0	2516	3181	5412.0	5697
zcc35	0.0	0.0	0.0	0.0	0.0	1112.0	0.0	0	1495	1112.0	1495
zcc355	0.0	0.0	836.0	0.0	0.0	0.0	0.0	914	0	836.0	914
zcc377	0.0	470.0	677.0	0.0	114.0	0.0	0.0	0	1339	1261.0	1339
zcc380	0.0	0.0	0.0	0.0	0.0	326.0	0.0	0	0	326.0	0
zcc401	0.0	431.0	0.0	0.0	0.0	644.0	0.0	588	1105	1075.0	1693
zcc403	0.0	56.0	0.0	1464.0	2195.0	311.0	458.0	2941	0	4026.0	2941
zcc5	0.0	0.0	2083.0	0.0	0.0	0.0	0.0	1119	0	2083.0	1119
zcc57	0.0	1373.0	0.0	0.0	0.0	0.0	0.0	0	0	1373.0	0
zcc63	0.0	0.0	0.0	0.0	0.0	0.0	474.0	0	0	0.0	0
zcc7	0.0	0.0	0.0	0.0	0.0	0.0	241.0	0	0	0.0	0
zcc77	0.0	1009.0	0.0	0.0	0.0	0.0	0.0	1159	0	1009.0	1159
zcc8	0.0	0.0	0.0	0.0	291.0	0.0	0.0	0	0	291.0	0
zcc9	3323.0	607.0	0.0	0.0	152.0	0.0	0.0	4813	0	4082.0	4813
zcc97	0.0	0.0	874.0	0.0	610.0	0.0	0.0	1018	0	1484.0	1018
I-H-133674-T1-2-D1-1	0.0	4325.0	4866.0	0.0	0.0	0.0	956.0	4912	5965	9191.0	10877
KiCS0154_326256	0.0	0.0	0.0	0.0	0.0	0.0	364.0	0	0	0.0	0
zcc107	0.0	274.0	0.0	0.0	0.0	0.0	0.0	278	0	274.0	278
zcc171	0.0	0.0	479.0	0.0	0.0	562.0	0.0	805	0	1041.0	805
zcc185	0.0	0.0	0.0	0.0	0.0	0.0	612.0	510	0	0.0	510
zcc186	0.0	551.0	387.0	0.0	0.0	0.0	0.0	885	0	938.0	885
zcc22	0.0	2810.0	0.0	0.0	0.0	0.0	0.0	2345	0	2810.0	2345
zcc365	0.0	0.0	357.0	0.0	0.0	749.0	0.0	639	844	1106.0	1483
zcc55	0.0	1123.0	1189.0	0.0	0.0	354.0	0.0	1291	1391	2666.0	2682
I-H-133673-T2-1-D1-1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1321	0	0.0	1321
I-H-135462-T1-2-D1-1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	11389	0.0	11389
KiCS0345_20_11162_A_02_00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11226	15340	0.0	26566
zcc79	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12576	0	0.0	12576
zcc292	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17592	8711	0.0	26303
