	SBS1	SBS2	SBS5	SBS7a	SBS7b	SBS8	SBS10a	SBS10b	SBS11	SBS12	SBS13	SBS14	SBS15	SBS17a	SBS17b	SBS18	SBS20	SBS31	SBS33	SBS35	SBS39	SBS43	SBS44	SBS45	SBS46	SBS53	SBS54	SBS57	SBS60	SBS84	SBS87	SBS288L1/H3	SBS288L2	SBS288L3	SBS288L4	SBS288L5	SBS288H1	SBS288H2	SBS288H4	SBS288H5	DBS1	DBS2	DBS4	DBS5	DBS6	DBS7	DBS9	DBS10	DBS11	DBS78L1/H1	DBS78H2	DBS78H3	ID1	ID2	ID3	ID4	ID5	ID8	ID9	ID12	ID17	ID83L1	ID83I1	ID83I2	ID83I3/H1	ID83H2	ID83H3	ID83H4	ID83I4/H5	Unassigned_SBS
I-H-135065-T1-1-D1-1	301	0	1881	0	0	0	0	0	0	0	0	0	0	0	0	2241	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81	178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
I-H-135074-T1-2-D1-1	2290	0	14560	0	0	6620	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	509	2382	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
I-H-135076-T1-1-D1-1	157	0	837	0	0	448	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82	0	205	200	0	0	0	0	0	0	0	0	0	0	0	0
I-H-135088-T1-2-D1-1	0	0	2920	0	0	0	0	0	0	0	0	0	0	0	0	1851	0	1209	0	1736	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	25	0	28	0	0	0	0	0	44	0	154	131	0	0	0	271	179	0	0	0	0	0	0	0	0	0	0	0
I-H-135387-T1-1-D1-1	128	172	1423	0	0	1088	0	0	0	0	182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	94	80	0	0	0	0	60	0	0	0	0	0	0	0	0	0	0	0
I-H-135392-T1-1-D1-1	125	0	864	0	0	394	0	0	0	0	182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
I-H-135393-T1-1-D1-1	137	0	692	0	0	221	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	108	218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
I-H-135420-T1-2-D1-1	0	0	2599	0	0	1653	0	0	0	0	0	0	0	0	0	0	0	569	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	81	61	0	0	171	163	126	0	0	0	0	0	0	0	0	0	0	0
I-H-135459-T1-2-D1-1	100	0	387	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
I-H-135463-T1-2-D1-1	0	0	1397	0	0	0	0	0	0	0	0	0	0	0	0	1692	0	0	0	0	0	0	0	0	0	420	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90	77	0	0	0	0	57	0	0	0	0	0	0	0	0	0	0	0
I-H-135467-T1-2-D1-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2303	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
I-H-135963-T1-1-D1-1	404	0	1765	0	0	1009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	241	214	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
I-H-135963-T2-2-D1-1	519	0	2107	0	0	1347	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	0	0	0	0	0	0	0	0	0	0	425	579	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
I-H-135965-T1-1-D1-1	0	218	633	0	0	0	0	0	0	0	227	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
I-H-135967-T1-2-D1-1	0	0	4326	0	0	0	0	0	0	0	0	0	0	0	0	6489	0	7602	0	0	5125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	96	95	0	0	0	0	0	70	0	695	1529	0	0	0	0	510	0	0	0	0	0	0	0	0	0	0	0
I-H-135973-T1-2-D1-1	0	0	670	0	0	0	0	0	0	0	0	0	0	0	0	2224	0	0	0	0	0	0	0	0	0	669	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	122	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
I-H-135988-T1-2-D1-1	0	0	446	0	0	0	0	0	0	0	0	0	0	0	0	726	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	318	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
I-H-136062-T1-1-D1-1	188	0	513	0	0	0	0	0	0	0	0	0	0	0	0	149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0													101	129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
I-H-136083-T1-2-D1-1	0	0	627	0	0	464	0	0	0	0	0	0	0	0	0	600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
I-H-136086-T1-1-D1-1	232	0	1134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
I-H-136134-T1-1-D1-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2127	0	4590	0	3298	0	0	0	0	0	0	0	0	0	0	0	0	2962	0	2423	0	0	0	0	0	0	46	0	68	0	0	0	0	0	0	93	0	395	253	234	0	0	176	0	0	0	0	0	0	0	0	0	0	0	0
