Samples	Signatures	Mutations
KiCS0109_304552	SBS11	0
KiCS0110_304269	SBS11	0
KiCS0111_313467	SBS11	0
KiCS0112_306734	SBS11	0
KiCS0114_304772	SBS11	0
KiCS0115_313555	SBS11	0
KiCS0116_307117	SBS11	0
KiCS0118_312902	SBS11	0
KiCS0119_307642	SBS11	0
KiCS0120_308112	SBS11	0
KiCS0120_308114	SBS11	0
KiCS0120_308939	SBS11	0
KiCS0121_311881	SBS11	0
KiCS0123_308934	SBS11	0
KiCS0125_309277	SBS11	0
KiCS0126_328068	SBS11	0
KiCS0128_310151	SBS11	0
KiCS0136_312904	SBS11	0
KiCS0140_313704	SBS11	0
KiCS0141_314896	SBS11	0
KiCS0143_316365	SBS11	0
KiCS0145_314010	SBS11	0
KiCS0148_319486	SBS11	0
KiCS0149_316368	SBS11	0
KiCS0150_315216	SBS11	0
KiCS0152_316245	SBS11	0
KiCS0154_18_752	SBS11	0
KiCS0154_316299	SBS11	0
KiCS0154_326256	SBS11	0
KiCS0155_18_9678	SBS11	0
KiCS0155_314807	SBS11	0
KiCS0155_314825	SBS11	0
KiCS0158_316457	SBS11	0
KiCS0161_319069	SBS11	0
KiCS0162_317276	SBS11	0
KiCS0164_317770	SBS11	0
KiCS0165_317832	SBS11	0
KiCS0168_319321	SBS11	0
KiCS0169_319629	SBS11	0
KiCS0170_320432	SBS11	0
KiCS0171_19_17562_A_02_00	SBS11	0
KiCS0171_319910	SBS11	0
KiCS0172_321979	SBS11	0
KiCS0179_322516	SBS11	0
KiCS0184_324069	SBS11	0
KiCS0188_334057	SBS11	0
KiCS0190_327483	SBS11	0
KiCS0192_330523	SBS11	0
KiCS0193_328018	SBS11	0
KiCS0193_328020	SBS11	0
KiCS0194_328185	SBS11	0
KiCS0195_328069	SBS11	0
KiCS0197_20_1402_A_02_00	SBS11	0
KiCS0197_20_15931_A_02_00	SBS11	0
KiCS0197_326711	SBS11	0
KiCS0198_327862	SBS11	0
KiCS0200_332386	SBS11	0
KiCS0204_19_13898_A_02_00	SBS11	0
KiCS0209_18_1512	SBS11	0
KiCS0212_333928	SBS11	0
KiCS0214_18_2567	SBS11	0
KiCS0218_18_1530	SBS11	0
KiCS0218_18_751	SBS11	0
KiCS0218_20_11154_A_02_00	SBS11	0
KiCS0220_18_3730	SBS11	0
KiCS0220_18_8816_A_02_00	SBS11	0
KiCS0221_18_2564	SBS11	0
KiCS0222_18_7573	SBS11	0
KiCS0225_18_2571	SBS11	0
KiCS0226_18_2569	SBS11	0
KiCS0227_18_2559	SBS11	0
KiCS0228_18_7577	SBS11	0
KiCS0228_18_7579	SBS11	0
KiCS0235_18_4828	SBS11	0
KiCS0238_18_5640	SBS11	0
KiCS0239_18_7570	SBS11	0
KiCS0240_18_8811	SBS11	0
KiCS0241_19_7197	SBS11	0
KiCS0245_18_12071	SBS11	0
KiCS0246_18_11279	SBS11	0
KiCS0249_19_18443	SBS11	0
KiCS0249_20_423_A_02_00	SBS11	0
KiCS0249_20_7122_A_02_00	SBS11	0
KiCS0252_18_9296	SBS11	0
KiCS0259_18_12197	SBS11	0
KiCS0261_19_18923_A_02_00	SBS11	0
KiCS0263_18_15764_A_03_01	SBS11	0
KiCS0266_19_13897_A_02_00	SBS11	0
KiCS0269_18_13380	SBS11	0
KiCS0270_19_13895_A_02_00	SBS11	0
KiCS0271_19_13900_A_02_00	SBS11	0
KiCS0272_20_18312_A_02_00	SBS11	0
KiCS0274_19_4026_A_02_00	SBS11	0
KiCS0276_19_5404_A_02_00	SBS11	0
KiCS0277_19_13896_A_02_00	SBS11	0
KiCS0277_19_4280_A_02_00	SBS11	0
KiCS0282_19_8768_A_02_00	SBS11	0
KiCS0282_20_18314_A_02_00	SBS11	0
KiCS0283_19_15299_A_02_00	SBS11	0
KiCS0285_19_15633_A_02_00	SBS11	0
KiCS0288_20_11147_A_02_00	SBS11	0
KiCS0289_19_15639_A_02_00	SBS11	0
KiCS0292_19_15636_A_02_00	SBS11	0
KiCS0293_19_15645_A_02_00	SBS11	0
KiCS0295_19_3667_A_02_00	SBS11	0
KiCS0295_20_6217_A_02_00	SBS11	0
KiCS0296_19_6855	SBS11	0
KiCS0298_19_3826	SBS11	0
KiCS0298_20_11148_A_02_00	SBS11	0
KiCS0299_19_3794	SBS11	0
KiCS0302_19_15647_A_02_00	SBS11	0
KiCS0306_19_19567_A_02_00	SBS11	0
KiCS0310_19_15653_A_02_00	SBS11	0
