	Low	High
SBS1	406	27
SBS2	28	0
SBS5	563	34
SBS7a	0	1
SBS7b	0	1
SBS8	128	0
SBS10a	0	7
SBS10b	0	5
SBS11	1	1
SBS12	5	0
SBS13	28	0
SBS14	0	8
SBS15	2	3
SBS17a	6	0
SBS17b	10	0
SBS18	177	0
SBS20	0	3
SBS31	55	3
SBS33	8	0
SBS35	32	3
SBS39	24	0
SBS43	81	0
SBS44	2	4
SBS45	0	1
SBS46	32	1
SBS53	7	0
SBS54	28	1
SBS57	3	1
SBS60	18	0
SBS84	0	1
SBS87	8	0
SBS288L1/H3	22	6
SBS288L2	31	0
SBS288L3	18	0
SBS288L4	24	0
SBS288L5	23	0
SBS288H1	0	4
SBS288H2	0	8
SBS288H4	0	4
SBS288H5	0	1
