curve	fpr	tpr	auc
Sig -	0.0	0.0	0.9720496894409938
Sig -	0.0	0.07142857142857142	0.9720496894409938
Sig -	0.0	0.5714285714285714	0.9720496894409938
Sig -	0.043478260869565216	0.5714285714285714	0.9720496894409938
Sig -	0.043478260869565216	0.7857142857142857	0.9720496894409938
Sig -	0.08695652173913043	0.7857142857142857	0.9720496894409938
Sig -	0.08695652173913043	1.0	0.9720496894409938
Sig -	1.0	1.0	0.9720496894409938
Sig +	0.0	0.0	0.9720496894409938
Sig +	0.0	0.043478260869565216	0.9720496894409938
Sig +	0.0	0.9130434782608695	0.9720496894409938
Sig +	0.21428571428571427	0.9130434782608695	0.9720496894409938
Sig +	0.21428571428571427	0.9565217391304348	0.9720496894409938
Sig +	0.42857142857142855	0.9565217391304348	0.9720496894409938
Sig +	0.42857142857142855	1.0	0.9720496894409938
Sig +	1.0	1.0	0.9720496894409938
micro	0.0	0.0	0.9766252739225714
micro	0.0	0.02702702702702703	0.9766252739225714
micro	0.0	0.7567567567567568	0.9766252739225714
micro	0.02702702702702703	0.7567567567567568	0.9766252739225714
micro	0.02702702702702703	0.8648648648648649	0.9766252739225714
micro	0.10810810810810811	0.8648648648648649	0.9766252739225714
micro	0.10810810810810811	0.8918918918918919	0.9766252739225714
micro	0.13513513513513514	0.8918918918918919	0.9766252739225714
micro	0.13513513513513514	0.972972972972973	0.9766252739225714
micro	0.24324324324324326	0.972972972972973	0.9766252739225714
micro	0.24324324324324326	1.0	0.9766252739225714
micro	1.0	1.0	0.9766252739225714
macro	0.0	0.7422360248447204	0.9804212800432082
macro	0.043478260869565216	0.8493788819875776	0.9804212800432082
macro	0.08695652173913043	0.9565217391304348	0.9804212800432082
macro	0.21428571428571427	0.9782608695652174	0.9804212800432082
macro	0.42857142857142855	1.0	0.9804212800432082
macro	1.0	1.0	0.9804212800432082
