Samples	Signatures	Mutations
KiCS0128_310151	Primary-Naive	1116
KiCS0143_316365	Primary-Naive	332
KiCS0145_314010	Primary-Naive	1378
KiCS0149_316368	Primary-Naive	796
KiCS0150_315216	Primary-Naive	273
KiCS0152_316245	Primary-Naive	0
KiCS0154_18_752	Primary-Naive	0
KiCS0154_326256	Primary-Naive	0
KiCS0155_18_9678	Primary-Naive	0
KiCS0155_314807	Primary-Naive	0
KiCS0155_314825	Primary-Naive	0
KiCS0161_319069	Primary-Naive	568
KiCS0162_317276	Primary-Naive	0
KiCS0164_317770	Primary-Naive	408
KiCS0165_317832	Primary-Naive	0
KiCS0169_319629	Primary-Naive	793
KiCS0170_320432	Primary-Naive	0
KiCS0171_19_17562_A_02_00	Primary-Naive	0
KiCS0171_319910	Primary-Naive	1459
KiCS0172_321979	Primary-Naive	0
KiCS0179_322516	Primary-Naive	2378
KiCS0184_324069	Primary-Naive	0
KiCS0190_327483	Primary-Naive	827
KiCS0192_330523	Primary-Naive	0
KiCS0193_328018	Primary-Naive	0
KiCS0193_328020	Primary-Naive	3582
KiCS0194_328185	Primary-Naive	0
KiCS0195_328069	Primary-Naive	0
KiCS0197_20_1402_A_02_00	Primary-Naive	0
KiCS0197_20_15931_A_02_00	Primary-Naive	0
KiCS0200_332386	Primary-Naive	4210
KiCS0204_19_13898_A_02_00	Primary-Naive	0
KiCS0214_18_2567	Primary-Naive	1887
KiCS0218_18_1530	Primary-Naive	0
KiCS0218_18_751	Primary-Naive	0
KiCS0218_20_11154_A_02_00	Primary-Naive	0
KiCS0220_18_3730	Primary-Naive	0
KiCS0220_18_8816_A_02_00	Primary-Naive	0
KiCS0221_18_2564	Primary-Naive	0
KiCS0222_18_7573	Primary-Naive	2424
KiCS0225_18_2571	Primary-Naive	0
KiCS0227_18_2559	Primary-Naive	3904
KiCS0228_18_7577	Primary-Naive	0
KiCS0235_18_4828	Primary-Naive	381
KiCS0239_18_7570	Primary-Naive	767
KiCS0240_18_8811	Primary-Naive	0
KiCS0241_19_7197	Primary-Naive	432
KiCS0245_18_12071	Primary-Naive	902
KiCS0246_18_11279	Primary-Naive	2031
KiCS0249_19_18443	Primary-Naive	1960
KiCS0249_20_423_A_02_00	Primary-Naive	0
KiCS0249_20_7122_A_02_00	Primary-Naive	0
KiCS0252_18_9296	Primary-Naive	0
KiCS0259_18_12197	Primary-Naive	0
KiCS0261_19_18923_A_02_00	Primary-Naive	0
KiCS0263_18_15764_A_03_01	Primary-Naive	0
KiCS0266_19_13897_A_02_00	Primary-Naive	981
KiCS0270_19_13895_A_02_00	Primary-Naive	0
KiCS0271_19_13900_A_02_00	Primary-Naive	4284
KiCS0272_20_18312_A_02_00	Primary-Naive	586
KiCS0274_19_4026_A_02_00	Primary-Naive	2010
KiCS0276_19_5404_A_02_00	Primary-Naive	0
KiCS0277_19_4280_A_02_00	Primary-Naive	0
KiCS0282_19_8768_A_02_00	Primary-Naive	0
KiCS0283_19_15299_A_02_00	Primary-Naive	0
KiCS0285_19_15633_A_02_00	Primary-Naive	2043
KiCS0288_20_11147_A_02_00	Primary-Naive	1562
KiCS0292_19_15636_A_02_00	Primary-Naive	0
KiCS0293_19_15645_A_02_00	Primary-Naive	1764
KiCS0295_20_6217_A_02_00	Primary-Naive	0
KiCS0298_20_11148_A_02_00	Primary-Naive	4390
KiCS0302_19_15647_A_02_00	Primary-Naive	0
KiCS0306_19_19567_A_02_00	Primary-Naive	0
KiCS0310_19_15653_A_02_00	Primary-Naive	15301
KiCS0312_19_15651_A_02_00	Primary-Naive	1321
KiCS0314_19_11045_A_02_00	Primary-Naive	1058
KiCS0319_19_11213_A_02_00	Primary-Naive	1771
KiCS0319_19_19753_A_02_00	Primary-Naive	0
KiCS0320_20_18316_A_02_00	Primary-Naive	420
KiCS0323_19_26722_A_02_00	Primary-Naive	3632
KiCS0324_19_15655_A_02_00	Primary-Naive	0
KiCS0326_19_21779_A_02_00	Primary-Naive	0
KiCS0327_20_75_A_02_00	Primary-Naive	0
KiCS0329_19_12113_A_02_00	Primary-Naive	1237
KiCS0332_19_12115_A_02_00	Primary-Naive	0
KiCS0333_19_16938_A_02_00	Primary-Naive	2983
KiCS0333_19_16940_A_02_00	Primary-Naive	0
KiCS0336_20_76_A_02_00	Primary-Naive	1429
KiCS0337_19_12649_A_02_00	Primary-Naive	379
KiCS0341_19_17403_A_02_00	Primary-Naive	2155
KiCS0343_19_13225_A_06_00	Primary-Naive	3560
KiCS0349_19_17411_A_02_00	Primary-Naive	0
KiCS0350_19_25243_A_02_00	Primary-Naive	0
KiCS0350_20_1787_A_02_00	Primary-Naive	4293
KiCS0354_19_19173_A_02_00	Primary-Naive	2162
KiCS0356_19_17417_A_02_00	Primary-Naive	2068
KiCS0358_19_19175_A_02_00	Primary-Naive	9513
KiCS0359_19_18908_A_02_00	Primary-Naive	2858
KiCS0362_19_19176_A_02_00	Primary-Naive	6118
KiCS0363_19_21783_A_02_00	Primary-Naive	0
KiCS0363_19_21794_A_02_00	Primary-Naive	1578
KiCS0365_19_19570_A_02_00	Primary-Naive	0
KiCS0366_19_20056_A_02_00	Primary-Naive	1675
KiCS0366_20_11333_A_02_00	Primary-Naive	0
KiCS0370_19_21815_A_02_00	Primary-Naive	4805
KiCS0374_20_3760_A_02_00	Primary-Naive	2007
KiCS0376_19_23808_A_02_00	Primary-Naive	0
KiCS0377_20_18334_A_02_00	Primary-Naive	2589
KiCS0378_19_25245_A_02_00	Primary-Naive	1699
KiCS0380_19_25917_A_02_00	Primary-Naive	1985
KiCS0386_20_425_A_02_00	Primary-Naive	1956
KiCS0391_20_11161_A_02_00	Primary-Naive	2209
KiCS0487_20_20203_A_02_00	Primary-Naive	2322
zcc1	Primary-Naive	3734
zcc2	Primary-Naive	2813
zcc4	Primary-Naive	3759
zcc5	Primary-Naive	0
zcc7	Primary-Naive	6812
zcc8	Primary-Naive	0
zcc9	Primary-Naive	0
zcc10	Primary-Naive	0
zcc11	Primary-Naive	0
zcc12	Primary-Naive	812
zcc13	Primary-Naive	0
zcc14	Primary-Naive	0
zcc15	Primary-Naive	0
zcc16	Primary-Naive	4263
zcc17	Primary-Naive	1565
zcc18	Primary-Naive	4194
zcc20	Primary-Naive	0
zcc22	Primary-Naive	0
zcc23	Primary-Naive	0
zcc24	Primary-Naive	2685
zcc25	Primary-Naive	0
zcc26	Primary-Naive	1585
zcc27	Primary-Naive	0
zcc30	Primary-Naive	2556
zcc31	Primary-Naive	2179
zcc32	Primary-Naive	0
zcc33	Primary-Naive	0
zcc34	Primary-Naive	1291
zcc36	Primary-Naive	2011
zcc37	Primary-Naive	4863
zcc38	Primary-Naive	0
zcc39	Primary-Naive	3818
zcc40	Primary-Naive	1763
zcc41	Primary-Naive	864
zcc42	Primary-Naive	1223
zcc43	Primary-Naive	3899
zcc44	Primary-Naive	1645
zcc45	Primary-Naive	2786
zcc46	Primary-Naive	0
zcc47	Primary-Naive	3069
zcc48	Primary-Naive	0
zcc49	Primary-Naive	0
zcc50	Primary-Naive	0
zcc54	Primary-Naive	2970
zcc56	Primary-Naive	0
zcc57	Primary-Naive	0
zcc58	Primary-Naive	0
zcc59	Primary-Naive	0
zcc60	Primary-Naive	0
zcc61	Primary-Naive	0
zcc62	Primary-Naive	2046
zcc64	Primary-Naive	1374
zcc66	Primary-Naive	0
zcc67	Primary-Naive	0
zcc68	Primary-Naive	1447
zcc69	Primary-Naive	2167
zcc70	Primary-Naive	0
zcc71	Primary-Naive	1275
zcc72	Primary-Naive	0
zcc73	Primary-Naive	1123
zcc74	Primary-Naive	0
zcc75	Primary-Naive	2699
zcc76	Primary-Naive	0
zcc77	Primary-Naive	0
zcc78	Primary-Naive	0
zcc80	Primary-Naive	0
zcc81	Primary-Naive	2214
zcc82	Primary-Naive	5857
zcc83	Primary-Naive	8190
zcc86	Primary-Naive	0
zcc87	Primary-Naive	1935
zcc88	Primary-Naive	4746
zcc89	Primary-Naive	0
zcc90	Primary-Naive	5185
zcc91	Primary-Naive	564
zcc92	Primary-Naive	3108
zcc94	Primary-Naive	4191
zcc95	Primary-Naive	3403
zcc96	Primary-Naive	1136
zcc97	Primary-Naive	0
zcc98	Primary-Naive	980
zcc279	Primary-Naive	0
zcc99	Primary-Naive	3787
zcc100	Primary-Naive	0
zcc101	Primary-Naive	2410
zcc102	Primary-Naive	0
zcc103	Primary-Naive	2650
zcc104	Primary-Naive	1382
zcc106	Primary-Naive	0
zcc108	Primary-Naive	1344
zcc109	Primary-Naive	0
zcc110	Primary-Naive	2615
zcc111	Primary-Naive	3091
zcc112	Primary-Naive	2599
zcc113	Primary-Naive	1496
zcc114	Primary-Naive	0
zcc115	Primary-Naive	0
zcc116	Primary-Naive	2280
zcc117	Primary-Naive	4443
zcc119	Primary-Naive	0
zcc120	Primary-Naive	4732
zcc121	Primary-Naive	0
zcc122	Primary-Naive	1005
zcc123	Primary-Naive	0
zcc124	Primary-Naive	0
zcc125	Primary-Naive	0
zcc126	Primary-Naive	0
zcc127	Primary-Naive	0
zcc128	Primary-Naive	2005
zcc129	Primary-Naive	2361
zcc130	Primary-Naive	0
zcc131	Primary-Naive	0
zcc132	Primary-Naive	0
zcc133	Primary-Naive	9273
zcc134	Primary-Naive	831
zcc135	Primary-Naive	3866
zcc137	Primary-Naive	1341
zcc138	Primary-Naive	0
zcc139	Primary-Naive	0
zcc141	Primary-Naive	3670
zcc143	Primary-Naive	941
zcc144	Primary-Naive	4183
zcc146	Primary-Naive	3526
zcc147	Primary-Naive	0
zcc148	Primary-Naive	0
zcc149	Primary-Naive	0
zcc150	Primary-Naive	3279
zcc152	Primary-Naive	2114
zcc153	Primary-Naive	2187
zcc156	Primary-Naive	0
zcc157	Primary-Naive	0
zcc158	Primary-Naive	0
zcc159	Primary-Naive	2643
zcc161	Primary-Naive	1219
zcc162	Primary-Naive	1472
zcc163	Primary-Naive	6739
zcc164	Primary-Naive	1436
zcc165	Primary-Naive	2192
zcc166	Primary-Naive	2909
zcc167	Primary-Naive	1195
zcc168	Primary-Naive	1278
zcc169	Primary-Naive	0
