Samples	SV2	SV3	SV4	SV5	SV6	SV8	SV9	SV32A	SV32B	SV32C	SV32D	SV32E
KiCS0005_300238	8	0	0	0	0	12	0	3	0	0	0	0
KiCS0334_19_16943_A_02_00	15	0	0	0	0	7	0	5	0	0	0	0
KiCS0162_317276	11	0	0	0	0	8	0	2	0	0	0	0
IID_H158181_T01_01_WG01	1	0	0	0	0	0	0	0	0	0	0	0
KiCS0362_19_19176_A_02_00	13	0	0	0	0	6	0	0	0	0	0	0
zcc213	27	0	5	0	0	12	0	18	0	0	0	0
zcc156	16	0	0	0	0	13	0	14	10	0	0	0
IID_H156409_T01_01_WG01	278	0	327	0	0	0	0	0	0	0	0	0
zcc67	31	0	0	0	0	4	0	0	0	0	0	0
zcc69	0	0	0	0	0	0	0	8	0	0	0	0
KiCS0014_328066	19	0	0	0	0	24	0	7	3	0	0	0
KiCS0231_18_5970	11	0	0	6	0	4	0	4	0	0	0	0
KiCS0011_19_24259_A_02_00	24	0	12	0	0	17	0	7	0	0	0	0
zcc33	25	0	0	0	25	12	0	28	16	0	0	0
zcc226	0	0	0	0	0	3	0	5	8	3	0	0
KiCS0037_283114	27	0	0	0	0	25	0	0	0	0	0	0
I-H-135062-T1-1-D1-1	28	0	0	0	0	0	152	0	0	0	0	0
zcc92	0	0	0	0	0	0	46	0	0	0	0	0
KiCS0109_304552	72	0	0	0	0	51	0	21	12	0	0	0
KiCS0170_320432	26	0	0	0	0	23	0	6	0	0	0	0
zcc95	28	0	8	0	0	0	27	0	8	0	0	0
I-H-135420-T1-2-D1-1	36	0	0	0	0	5	0	0	0	0	0	0
zcc179	0	0	6	0	7	0	0	0	0	0	0	0
KiCS0148_319486	591	0	265	0	149	0	0	0	0	0	0	0
KiCS0221_18_2564	68	0	0	0	0	41	0	23	31	0	0	0
KiCS0039_297368	20	0	0	0	0	33	0	9	6	0	0	0
KiCS0222_18_7573	21	0	0	0	0	29	0	8	0	0	0	0
KiCS0048_290132	28	6	8	0	0	9	0	11	11	0	0	0
zcc100	0	0	18	0	14	0	37	0	0	0	0	0
zcc137	17	0	37	0	19	0	0	0	0	0	0	0
KiCS0123_308934	14	0	0	0	0	12	0	0	0	0	0	0
IID_H156407_T01_01_WG01	31	0	0	0	0	3	0	0	4	0	0	0
zcc98	2	0	0	0	0	0	0	2	0	0	0	0
KiCS0155_314825	11	0	0	0	0	15	0	0	0	0	0	0
KiCS0040_286739	21	0	0	0	0	9	0	0	0	0	0	0
zcc186	18	0	0	0	0	2	0	0	3	0	0	0
KiCS0375_20_484_A_02_00	56	0	0	0	0	8	0	0	6	0	0	0
zcc3	28	0	0	0	0	4	0	11	0	0	0	0
KiCS0370_19_21815_A_02_00	22	0	26	0	0	21	46	0	13	0	0	0
I-H-134756-T1-1-D1-1	0	0	0	0	14	0	0	0	0	0	0	0
KiCS0349_19_17411_A_02_00	51	0	0	0	0	17	0	0	0	0	0	0
KiCS0032_276054	21	0	0	0	0	14	0	13	5	0	0	0
KiCS0374_20_3759_A_02_00	29	0	0	0	45	21	70	0	0	0	0	0
I-H-133674-T1-2-D1-1	2	0	0	0	0	2	0	1	1	0	0	0
KiCS0031_283112	24	0	0	0	0	18	0	7	0	0	0	0
zcc52	33	0	0	0	0	4	0	18	0	0	0	0
I-H-135467-T1-2-D1-1	2	0	0	0	0	0	0	0	0	0	0	0
KiCS0030_273368	56	0	0	0	0	60	0	39	30	0	0	0
KiCS0239_18_7570	18	0	0	0	0	11	0	3	4	0	0	0
I-H-135967-T1-2-D1-1	193	0	50	0	0	28	158	29	50	0	0	0
zcc214	0	0	0	0	0	97	0	0	0	0	0	0
KiCS0218_18_751	39	0	0	0	0	48	0	15	0	0	0	0
KiCS0271_19_13900_A_02_00	42	0	0	0	0	58	0	11	0	0	0	0
KiCS0038_310410	12	0	0	0	0	14	0	9	0	0	14	0
KiCS0120_308939	7	4	0	0	0	10	0	6	0	0	0	0
KiCS0195_327479	23	0	0	0	0	29	0	5	0	0	0	0
zcc40	6	0	0	0	0	0	0	2	0	0	0	0
zcc227	5	0	0	0	0	0	0	1	0	0	0	0
KiCS0095_300240	10	0	0	0	0	13	0	8	0	0	0	0
zcc151	8	0	0	0	0	9	0	24	11	0	0	0
zcc65	6	0	0	5	0	3	0	2	4	0	0	0
I-H-135076-T1-1-D1-1	0	0	0	0	0	0	80	0	0	0	0	0
KiCS0116_307117	22	0	0	0	0	10	0	4	0	0	0	0
zcc143	4	0	0	0	0	1	0	1	1	0	0	0
zcc425	33	0	0	0	0	4	0	0	0	0	0	0
KiCS0049_289183	33	0	44	0	35	27	0	0	0	0	0	0
I-H-135963-T2-2-D1-1	14	0	0	0	0	0	0	0	2	0	0	0
KiCS0069_298700	119	0	39	0	0	22	0	0	0	0	0	0
zcc223	11	0	0	0	0	0	0	0	10	0	0	0
zcc188	1	0	0	0	0	1	0	1	0	0	0	0
KiCS0363_19_21794_A_02_00	20	0	0	0	0	18	0	5	0	0	0	0
KiCS0277_19_4280_A_02_00	27	0	0	0	0	22	0	11	0	0	0	0
KiCS0017_270651	21	0	0	0	0	32	0	8	0	0	0	0
KiCS0045_288555	16	5	0	0	0	12	0	0	0	0	0	0
I-H-108298-T1-1-D1-1	77	0	42	0	47	16	0	46	29	0	0	0
KiCS0143_316365	19	0	0	0	0	17	0	0	0	0	0	0
zcc205	35	0	17	0	0	16	50	0	8	0	0	0
zcc163	30	9	0	0	0	16	0	9	0	0	0	0
I-H-133673-T2-1-D1-1	30	0	0	0	0	4	0	0	0	0	0	0
zcc72	0	0	0	0	0	2	0	1	0	0	0	0
zcc59	13	0	0	0	0	3	0	0	0	0	0	0
zcc247	0	0	0	0	0	0	17	5	0	12	0	0
zcc58	13	0	0	0	0	0	0	6	0	0	4	0
IID_H135068_T05_01_WG01	59	0	13	0	0	0	0	12	0	0	0	0
zcc111	22	0	0	0	0	0	0	0	6	0	0	0
zcc139	2	0	0	0	0	1	0	1	3	0	0	0
KiCS0041_317510	19	0	0	0	0	11	0	0	0	0	0	0
KiCS0336_20_76_A_02_00	23	0	0	0	0	8	0	0	4	0	0	0
zcc149	7	0	0	0	0	6	0	2	0	0	0	0
KiCS0060_291967	45	0	0	0	0	12	0	0	0	0	0	0
KiCS0164_317770	17	6	0	0	0	15	0	0	0	0	0	0
KiCS0092_329766	27	0	0	0	0	40	0	12	8	0	0	0
I-H-121266-T1-2-D1-1	3	3	0	0	0	2	0	0	8	0	0	0
KiCS0078_297044	13	0	0	0	0	11	0	0	0	0	0	0
KiCS0155_18_9678	6	0	0	0	0	13	0	0	2	0	0	0
KiCS0086_298838	8	0	0	0	0	17	0	3	0	0	0	0
KiCS0154_316299	39	0	0	0	0	18	0	7	0	0	0	0
zcc53	2	0	0	0	0	0	0	0	0	0	0	0
IID_H158186_T02_01_WG01	5	0	0	0	0	3	0	0	4	0	3	0
IID_H158493_T01_01_WG01	38	0	0	0	40	0	80	40	0	29	35	0
zcc150	24	0	0	0	0	0	0	0	0	0	0	0
KiCS0119_307642	11	0	0	0	0	19	0	0	0	0	0	0
KiCS0263_18_15764_A_03_01	44	0	0	0	0	13	0	13	0	0	0	0
I-H-136428-T1-1-D1-1	152	0	68	0	72	0	0	0	0	0	0	0
zcc90	19	0	0	0	0	5	0	10	13	6	0	0
KiCS0088_298840	13	0	0	0	0	33	0	0	0	0	0	0
KiCS0238_18_5640	30	0	0	0	0	15	0	0	0	0	0	0
zcc197	2	0	0	0	0	0	0	0	1	0	0	0
zcc252	14	0	0	0	0	4	0	6	11	0	0	14
KiCS0374_20_3760_A_02_00	38	0	0	0	0	21	0	0	0	0	0	0
zcc245	0	0	0	0	7	0	0	0	5	6	6	0
zcc337	5	0	0	0	0	1	0	2	0	0	0	0
zcc48	0	0	0	0	0	4	0	7	10	0	0	0
KiCS0276_19_5404_A_02_00	53	0	31	0	0	0	191	34	0	0	0	93
KiCS0350_19_25243_A_02_00	35	0	193	0	50	24	0	0	0	0	0	0
zcc401	0	0	0	0	0	1	0	0	1	0	0	0
KiCS0087_297229	15	0	0	7	0	6	0	0	0	0	4	0
I-H-135393-T1-1-D1-1	6	0	0	0	0	0	0	3	0	0	0	0
zcc124	50	0	13	0	0	7	0	0	0	0	0	0
KiCS0182_331429	45	0	0	0	0	16	0	0	0	0	0	0
zcc84	87	0	47	0	151	25	137	0	22	0	0	0
KiCS0296_19_6855	134	0	46	0	50	33	104	82	42	0	0	0
KiCS0161_319069	20	0	0	0	0	17	0	0	0	0	0	0
zcc166	62	0	60	0	0	0	0	0	0	0	0	0
KiCS0036_275798	12	0	0	0	0	6	0	13	15	0	0	0
KiCS0261_19_18923_A_02_00	32	0	0	0	0	19	0	13	8	0	0	0
zcc174	20	0	0	0	0	0	0	0	0	0	0	0
KiCS0249_20_423_A_02_00	15	0	0	0	63	17	0	8	0	0	0	0
KiCS0293_19_15645_A_02_00	23	0	0	0	0	22	0	10	7	0	0	0
KiCS0090_299554	7	4	0	0	0	7	0	2	0	0	0	0
KiCS0190_327483	22	0	0	0	0	24	0	6	0	0	0	0
zcc239	79	0	46	0	32	0	0	0	0	0	0	0
KiCS0066_301446	9	0	0	0	0	30	0	11	0	0	0	0
zcc54	4	0	0	0	0	0	0	0	0	7	0	0
zcc236	0	0	0	0	0	0	0	0	11	10	0	0
KiCS0007_302948	19	0	0	0	0	20	0	0	0	0	0	0
IID_H158223_T01_01_WG01	203	0	110	0	0	0	0	0	0	0	0	0
zcc23	80	0	0	0	0	0	0	0	0	0	0	0
KiCS0356_19_17417_A_02_00	46	0	0	0	0	11	0	10	0	0	0	0
KiCS0345_20_11162_A_02_00	181	0	117	0	0	31	0	58	151	0	0	0
zcc191	165	0	68	0	0	22	121	48	43	0	0	0
KiCS0017_271603	18	0	0	0	0	33	0	9	0	0	0	0
zcc17	0	0	0	0	0	0	0	0	0	0	2	0
zcc112	1	0	0	0	0	2	0	1	2	0	0	0
zcc194	4	0	0	0	0	2	0	0	0	0	0	0
KiCS0341_19_17403_A_02_00	18	0	0	0	72	42	0	0	0	0	0	0
KiCS0319_19_19753_A_02_00	24	0	0	0	0	13	0	5	3	0	0	0
zcc251	0	0	0	0	26	0	23	6	0	0	0	0
KiCS0121_311881	20	0	0	0	0	16	0	7	0	0	0	0
zcc113	2	0	0	0	0	1	0	1	2	0	0	0
zcc160	36	0	0	0	0	0	0	0	0	0	0	0
KiCS0152_316245	19	0	0	0	0	13	0	3	0	0	0	0
KiCS0179_322516	55	0	14	0	0	32	45	41	11	0	0	0
KiCS0379_20_18013_A_02_00	21	0	0	0	0	27	0	9	0	0	0	0
KiCS0051_289184	79	0	25	0	0	47	0	33	0	0	0	0
KiCS0212_333928	23	0	0	0	0	9	0	0	0	0	0	0
zcc242	2	0	0	0	0	1	0	1	1	0	0	0
zcc123	0	0	2	0	0	0	8	0	0	0	0	0
zcc79	48	0	0	0	61	23	0	12	0	0	0	0
I-H-135988-T1-2-D1-1	1	0	0	0	0	0	0	0	1	0	0	0
KiCS0245_18_12071	18	0	0	0	0	12	0	3	0	0	0	0
zcc18	11	0	0	0	0	0	0	0	0	0	0	0
zcc14	0	0	0	0	234	0	112	0	0	0	0	0
I-H-108317-T1-1-D1-1	10	0	0	0	0	8	15	0	0	0	0	0
KiCS0282_19_8768_A_02_00	51	0	0	0	0	33	0	11	0	0	0	0
zcc78	2	0	0	0	0	1	0	0	0	0	1	0
zcc229	22	0	0	0	0	0	0	0	0	0	0	0
KiCS0085_299826	11	4	0	0	0	9	0	4	4	0	0	0
zcc224	0	0	0	0	0	0	0	0	7	0	0	0
zcc109	2	0	0	0	0	1	0	0	0	0	0	0
KiCS0070_296084	6	0	0	0	0	17	0	4	0	0	0	0
zcc380	29	0	0	0	0	0	47	0	0	0	0	0
I-H-136424-T1-1-D1-1	6	0	0	0	0	0	0	0	5	0	0	0
zcc39	0	0	14	0	0	0	0	0	0	0	0	0
KiCS0068_294906	17	0	0	0	0	21	0	5	0	0	0	0
KiCS0352_19_17420_A_02_00	29	0	0	0	0	22	0	6	0	0	0	0
zcc148	5	0	0	0	0	0	0	1	0	0	0	0
I-H-135074-T1-2-D1-1	0	0	41	0	73	0	178	0	23	0	0	0
KiCS0288_20_11147_A_02_00	34	0	0	0	0	32	0	0	0	0	0	0
zcc192	30	0	34	0	0	0	0	0	0	0	0	0
KiCS0103_304770	58	0	54	41	45	17	0	17	25	0	0	0
zcc175	2	0	0	0	0	0	0	0	0	0	0	0
KiCS0111_313467	40	0	12	0	17	14	66	0	0	0	0	0
