	SBS1	SBS2	SBS5	SBS7a	SBS7b	SBS8	SBS10a	SBS10b	SBS11	SBS12	SBS13	SBS14	SBS15	SBS17a	SBS17b	SBS18	SBS20	SBS31	SBS33	SBS35	SBS39	SBS43	SBS44	SBS45	SBS46	SBS53	SBS54	SBS57	SBS60	SBS84	SBS87	SBS288L1/H3	SBS288L2	SBS288L3	SBS288L4	SBS288L5	SBS288H1	SBS288H2	SBS288H4	SBS288H5	Unassigned_SBS	Burden
zcc9	0	0	1900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4813	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6713
zcc22	0	0	1217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2345	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1315	0	0	1955	0	0	0	0	0	6832
zcc55	194	0	1133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1291	0	1391	0	0	0	0	721	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4730
zcc77	176	0	2061	0	0	0	0	0	0	0	0	0	0	0	0	1448	0	1159	0	0	2099	0	0	0	1419	0	707	0	0	0	0	0	0	0	1163	0	0	0	0	0	0	10232
zcc97	340	306	3320	0	0	2097	0	0	0	0	440	0	0	0	0	0	0	1018	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7521
zcc279	0	0	4681	0	0	0	0	0	0	0	0	0	0	0	0	1633	0	2655	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5028	0	0	0	0	0	13997
zcc107	0	0	927	0	0	0	0	0	0	0	0	0	0	0	0	0	0	278	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1205
zcc119	584	0	2518	0	0	0	0	0	0	0	0	0	0	0	0	0	0	990	0	1243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5335
zcc130	0	0	809	0	0	0	0	0	0	0	0	0	0	0	0	9292	0	1766	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1984	0	0	0	0	0	0	13851
zcc147	165	199	2457	0	0	1259	0	0	0	0	355	0	0	0	0	0	0	906	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5341
zcc158	186	0	2236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1111	0	0	0	0	498	4745
zcc160	182	0	279	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3660	0	2136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6257
