Sample_id	sbs_burden	dbs_burden	id_burden	sbs_log	dbs_log	id_log
KiCS0167_318530	High	High	Mid	5.30494053	2.85308953	3.454539985
KiCS0168_319321	Low	Low	Mid	3.640382045	1.301029996	2.552668216
KiCS0169_319629	Low	Low	Mid	2.899273187	0.698970004	2.260071388
KiCS0170_320432	Low	Low	Mid	2.872156273	1.113943352	2.33243846
KiCS0171_319910	Low	Low	Mid	3.164055292	0.477121255	2.250420002
KiCS0171_19_17562_A_02_00	Low	Low	Mid	3.325515663	0.602059991	2.442479769
KiCS0172_321979	Low	High	Mid	3.555940438	1.86332286	2.942008053
KiCS0179_322516	Low	Low	Low	3.37621185	1.255272505	2.176091259
KiCS0182_331429	High	High	Mid	5.393989121	2.84509804	3.456214155
KiCS0184_324069	Low	Low	Mid	3.496237545	1.544068044	2.356025857
KiCS0188_334057	Low	Low	Low	3.246990699	0.77815125	2.06069784
KiCS0190_327483	Low	Low	Low	2.91750551	0.84509804	2.120573931
KiCS0192_330523	Low	Low	Mid	3.465977368	1.278753601	2.720985744
KiCS0193_328020	Low	Low	Mid	3.554125582	1.462397998	3.216693599
KiCS0193_328018	Low	Low	Mid	3.644044493	1.301029996	3.161667412
KiCS0194_328185	Low	High	Mid	3.99343623	2.44870632	2.757396029
KiCS0195_327479	High	High	High	4.534597171	1.892094603	4.171053288
KiCS0195_328069	Low	Low	Mid	4.378252506	1.698970004	3.186673867
KiCS0197_326711	Low	Low	Low	2.550228353	1.079181246	1.69019608
KiCS0197_20_1402_A_02_00	Low	High	Mid	4.127169614	1.949390007	2.873901598
KiCS0197_20_15931_A_02_00	Low	Low	Mid	2.693726949	0.84509804	2.257678575
KiCS0198_327862	Low	Low	Mid	3.67678503	1.643452676	2.912753304
KiCS0200_332386	Low	Low	Mid	3.624282096	1.041392685	2.721810615
KiCS0204_19_13898_A_02_00	Low	High	Mid	3.94895061	2.385606274	2.845718018
KiCS0209_18_1512	Low	Low	Low	3.290702243	1.113943352	2.139879086
KiCS0212_333928	Low	Low	Mid	3.186956335	1.204119983	2.656098202
KiCS0214_18_2567	Low	Low	Mid	3.2757719	1.230448921	2.539076099
KiCS0218_18_751	Low	Low	Mid	3.626340367	1.672097858	2.934498451
KiCS0218_18_1530	Low	Low	Mid	3.643748685	1.602059991	3.01494035
KiCS0218_20_11154_A_02_00	Low	High	Mid	4.273973004	2.230448921	3.161966616
KiCS0219_18_1752	High	High	High	6.212354363	3.226599905	5.177923009
KiCS0220_18_3730	Low	Low	Mid	3.280805928	1.278753601	2.411619706
KiCS0220_18_748	High	High	High	4.710726474	2.348304863	3.606273853
KiCS0220_18_8816_A_02_00	Low	High	Mid	3.746712023	1.86923172	3.13893394
KiCS0221_18_2564	Low	High	Mid	4.106598813	1.929418926	3.458033192
