	ID1	ID2	ID3	ID4	ID5	ID8	ID9	ID12	ID17	ID83L1	ID83I1	ID83I2	ID83I3/H1	ID83H2	ID83H3	ID83H4	ID83I4/H5
	MMRD/MSI	MMRD/MSI	Tobacco	Unknown	Unknown	Radiation	Unknown	Unknown	Top2A	Novel	Novel	Novel	Novel	Novel	Novel	Novel	Novel
IID_H158493_T01_01_WG01	336	318	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KiCS0002_321321	0	0	337	0	470	0	0	0	0	0	310	0	0	0	0	0	0
KiCS0003_20_15220_A_02_00	133	277	416	0	0	0	0	0	0	0	1094	0	0	0	0	0	168
KiCS0003_285201	0	0	0	0	0	0	0	0	0	103	0	0	0	0	0	0	0
KiCS0003_285202	0	0	0	0	0	67	127	0	0	0	176	0	0	0	0	0	0
KiCS0005_300238	0	0	0	0	0	0	0	0	0	62	0	0	0	0	0	0	0
KiCS0005_4677	0	0	0	0	0	0	0	158	0	0	0	0	0	0	0	0	0
KiCS0006_274243	0	0	0	0	0	0	61	0	0	0	0	0	0	0	0	0	0
KiCS0007_302948	0	0	0	0	0	0	0	0	0	0	0	337	0	0	0	0	209
KiCS0008_289185	150	479	0	0	412	260	0	0	0	0	0	275	0	0	0	0	0
KiCS0010_270645	224	582	0	0	0	0	0	213	0	0	269	0	0	0	0	0	0
KiCS0010_270646	0	0	0	0	0	0	0	0	0	74	0	0	0	0	0	0	0
KiCS0010_270647	255	697	0	0	0	0	0	0	0	0	417	0	213	0	0	0	0
KiCS0011_19_24259_A_02_00	0	0	0	0	73	100	0	0	0	0	71	0	0	0	0	0	0
KiCS0011_270648	0	0	0	0	0	0	0	0	0	58	0	0	0	0	0	0	0
KiCS0013_319375	0	0	0	0	0	0	0	0	0	120	0	0	0	0	0	0	0
KiCS0015_18_7567	0	517	0	254	0	300	222	0	0	0	0	0	0	0	0	0	0
KiCS0015_283113	0	470	0	267	0	0	0	0	0	0	0	0	0	0	0	0	0
