Samples	Signatures	Mutations
KiCS0246_18_11279	SBS1	0
KiCS0249_19_18443	SBS1	0
KiCS0249_20_423_A_02_00	SBS1	42
KiCS0249_20_7122_A_02_00	SBS1	37
KiCS0252_18_9296	SBS1	0
KiCS0259_18_12197	SBS1	0
KiCS0261_19_18923_A_02_00	SBS1	0
KiCS0263_18_15764_A_03_01	SBS1	0
KiCS0266_19_13897_A_02_00	SBS1	0
KiCS0269_18_13380	SBS1	58
KiCS0270_19_13895_A_02_00	SBS1	0
KiCS0271_19_13900_A_02_00	SBS1	0
KiCS0272_20_18312_A_02_00	SBS1	0
KiCS0274_19-4026-A-02-00	SBS1	0
KiCS0276_19_5404_A_02_00	SBS1	0
KiCS0277_19_13896_A_02_00	SBS1	0
KiCS0277_19_4280_A_02_01	SBS1	0
KiCS0282_19_8768_A_02_00	SBS1	0
KiCS0282_20_18314_A_02_00	SBS1	29
KiCS0283_19_15299_A_02_00	SBS1	0
KiCS0285_19_15633_A_02_00	SBS1	0
KiCS0288_20_11147_A_02_00	SBS1	0
KiCS0289_19_15639_A_02_00	SBS1	0
KiCS0292_19_15636_A_02_00	SBS1	0
KiCS0293_19_15645_A_02_00	SBS1	0
KiCS0295_19_3667_A_02_00	SBS1	0
KiCS0295_20_6217_A_02_00	SBS1	0
KiCS0296_19_6855	SBS1	0
KiCS0298_19_3826	SBS1	0
KiCS0298_20_11148_A_02_00	SBS1	0
KiCS0299_19_3794	SBS1	146
KiCS0302_19_15647_A_02_00	SBS1	0
KiCS0306_19_19567_A_02_00	SBS1	0
KiCS0310_9_15653_A_02_00	SBS1	400
KiCS0312_19_15651_A_02_00	SBS1	0
KiCS0314_19_11045_A_02_00	SBS1	0
KiCS0319_19_11213_A_02_00	SBS1	0
KiCS0319_19_19753_A_02_00	SBS1	0
KiCS0320_20_18316_A_02_00	SBS1	0
KiCS0323_19_26722_A_02_00	SBS1	45
KiCS0324_19_15655_A_02_00	SBS1	0
KiCS0326_19_21779_A_02_00	SBS1	0
KiCS0327_20_75_A_02_00	SBS1	0
KiCS0329_19_12113_A_02_00	SBS1	0
KiCS0332_19_12115_A_02_00	SBS1	0
KiCS0333_19_16938_A_02_00	SBS1	0
KiCS0333_19_16940_A_02_00	SBS1	0
KiCS0334_19_16943_A_02_00	SBS1	0
KiCS0336_20_76_A_02_00	SBS1	0
KiCS0337_19_12649_A_02_00	SBS1	0
KiCS0339_20_1400_A_02_00	SBS1	0
KiCS0341_19_17403_A_02_00	SBS1	0
KiCS0343_19_13225_A_06_00	SBS1	42
KiCS0345_20_1395_A_02_00	SBS1	0
KiCS0347_19_17408_A_02_00	SBS1	0
KiCS0349_19_17411_A_02_00	SBS1	0
KiCS0350_19_25243_A_02_00	SBS1	0
KiCS0350_20_1787_A_02_00	SBS1	0
KiCS0354_19_19173_A_02_00	SBS1	33
KiCS0356_19_17417_A_02_00	SBS1	0
KiCS0358_19_19175_A_02_00	SBS1	0
KiCS0359_19_18908_A_02_00	SBS1	0
KiCS0361_19_18661_A_02_00	SBS1	0
KiCS0362_19_19176_A_02_00	SBS1	42
KiCS0363_19_21783_A_02_00	SBS1	0
KiCS0363_19_21794_A_02_00	SBS1	0
KiCS0365_19_19570_A_02_00	SBS1	0
KiCS0366_19_20056_A_02_00	SBS1	0
KiCS0366_20_11333_A_02_00	SBS1	0
KiCS0370_19_21815_A_02_00	SBS1	0
KiCS0371_19_22172_A_02_00	SBS1	0
KiCS0374_20_3759_A_02_00	SBS1	0
KiCS0374_20_3760_A_02_00	SBS1	63
KiCS0375_20_484_A_02_00	SBS1	0
KiCS0376_19_23808_A_02_00	SBS1	0
KiCS0377_20_18334_A_02_00	SBS1	0
KiCS0378_19_25245_A_02_00	SBS1	0
KiCS0379_20_18013_A_02_00	SBS1	0
KiCS0380_19_25917_A_02_00	SBS1	0
KiCS0383_19_25931_A_02_00	SBS1	0
KiCS0386_20_425_A_02_00	SBS1	25
KiCS0391_20_11161_A_02_00	SBS1	0
KiCS0487_20_20203_A_02_00	SBS1	33
LKCGP-P000101-244105-01-01-01-D1	SBS1	0
LKCGP-P000102-248287-01-01-01-D1	SBS1	0
LKCGP-P000103-246820-01-03-01-D1	SBS1	0
LKCGP-P000104-250304-01-06-01-D1	SBS1	0
LKCGP-P000105-249031-01-03-01-R1	SBS1	35
LKCGP-P000106-244271-01-01-01-R3	SBS1	0
LKCGP-P000107-257820-01-04-01-D1	SBS1	25
LKCGP-P000108-255679-01-06-01-R1	SBS1	0
LKCGP-P000201-244412-01-06-01-R1	SBS1	0
LKCGP-P000202-248737-01-01-01-R1	SBS1	27
LKCGP-P000203-245823-01-04-01-R1	SBS1	0
LKCGP-P000204-251965-01-04-01-D1	SBS1	0
LKCGP-P000205-251424-01-04-01-R1	SBS1	0
LKCGP-P000206-245229-01-04-01-R3	SBS1	25
LKCGP-P000207-256902-01-06-01-R4	SBS1	0
LKCGP-P000208-256832-01-01-01-D1	SBS1	0
LKCGP-P000301-244735-01-06-01-D1	SBS1	0
LKCGP-P000302-249382-01-01-01-D1	SBS1	72
LKCGP-P000303-248216-01-04-01-P3	SBS1	26
LKCGP-P000304-255645-01-04-01-R2	SBS1	0
LKCGP-P000305-251503-01-02-01-D2	SBS1	0
LKCGP-P000305-251504-01-02-05-D1	SBS1	0
LKCGP-P000306-244703-01-04-01-R2	SBS1	0
LKCGP-P000307-250768-01-01-01-D1	SBS1	0
LKCGP-P000308-257986-01-04-20-R1	SBS1	0
LKCGP-P000401-244917-01-06-01-D1	SBS1	0
LKCGP-P000402-249682-01-04-01-R1	SBS1	0
LKCGP-P000403-255320-01-04-01-D1	SBS1	0
LKCGP-P000404-257958-01-01-01-P2	SBS1	0
LKCGP-P000405-261706-01-04-01-D1	SBS1	0
LKCGP-P000406-244901-03-04-01-D1	SBS1	0
LKCGP-P000407-255560-01-03-01-R2	SBS1	0
LKCGP-P000408-259006-03-02-19-R1	SBS1	30
LKCGP-P000501-245256-01-06-01-D1	SBS1	0
LKCGP-P000502-250726-01-06-01-P1	SBS1	35
LKCGP-P000503-255087-01-06-01-D1	SBS1	33
LKCGP-P000504-259156-01-01-01-D1	SBS1	0
LKCGP-P000505-266106-01-04-01-R2	SBS1	0
LKCGP-P000506-245249-01-04-01-R3	SBS1	27
LKCGP-P000507-256616-01-04-01-D1	SBS1	0
LKCGP-P000508-260304-01-04-01-D1	SBS1	0
LKCGP-P000601-245664-01-06-01-D1	SBS1	0
LKCGP-P000602-250784-01-04-01-D1	SBS1	0
LKCGP-P000603-255322-01-06-01-D1	SBS1	0
LKCGP-P000604-259901-01-01-01-D1	SBS1	0
LKCGP-P000605-267980-01-01-01-R3	SBS1	0
LKCGP-P000606-245909-01-01-01-P1	SBS1	0
LKCGP-P000607-256617-01-02-06-R1	SBS1	27
LKCGP-P000607-256695-01-02-01-R1	SBS1	0
LKCGP-P000608-263367-01-01-01-R1	SBS1	0
LKCGP-P000702-251072-01-06-01-D1	SBS1	0
LKCGP-P000703-257977-01-01-01-P1	SBS1	0
LKCGP-P000704-259975-01-04-01-P1	SBS1	0
LKCGP-P000705-269231-01-04-20-D1	SBS1	0
LKCGP-P000706-245879-01-01-01-P1	SBS1	0
LKCGP-P000801-247593-01-01-01-R1	SBS1	0
LKCGP-P000802-252046-01-06-01-R1	SBS1	0
LKCGP-P000804-261896-01-01-01-R1	SBS1	0
LKCGP-P000806-246360-01-04-01-D1	SBS1	34
LKCGP-P000807-259168-03-01-13-R1	SBS1	0
LKCGP-P000808-277070-01-02-03-R2	SBS1	0
LKCGP-P000902-252200-01-01-01-D1	SBS1	0
LKCGP-P000903-263833-01-01-01-P1	SBS1	0
LKCGP-P000904-262038-01-01-01-D1	SBS1	0
LKCGP-P000906-248532-01-02-01-P1	SBS1	0
LKCGP-P001001-248023-01-01-01-R1	SBS1	0
LKCGP-P001002-252900-01-01-01-R1	SBS1	0
LKCGP-P001003-265756-01-01-01-D1	SBS1	0
LKCGP-P001005-271863-01-02-03-D1	SBS1	0
LKCGP-P001006-249154-01-02-01-R1	SBS1	0
LKCGP-P001007-260322-01-01-01-D1	SBS1	0
LKCGP-P001101-250725-01-03-01-P2	SBS1	0
LKCGP-P001102-252831-01-01-01-D1	SBS1	0
LKCGP-P001103-270604-01-02-03-R1	SBS1	81
LKCGP-P001104-263056-01-04-20-D1	SBS1	0
LKCGP-P001105-271530-01-01-01-R1	SBS1	0
LKCGP-P001106-249829-01-03-01-R1	SBS1	68
