	Signature	Precision	Recall	F1-score	Support	Positive Class (in Red)
64	Sig -	0.78125	0.8771929824561403	0.8264462809917354	57.0	"Platinum
Treated"
65	Sig +	0.86	0.7543859649122807	0.8037383177570094	57.0	"Platinum
Treated"
66	Sig -	0.868421052631579	0.8918918918918919	0.88	37.0	TopRQ
67	Sig +	0.8888888888888888	0.8648648648648649	0.8767123287671232	37.0	TopRQ
68	Sig -	1.0	1.0	1.0	22.0	Sig+
69	Sig +	1.0	1.0	1.0	22.0	Sig+
70	Sig -	0.7647058823529411	0.8666666666666667	0.8125	15.0	Sig-
71	Sig +	0.8461538461538461	0.7333333333333333	0.7857142857142856	15.0	Sig-
72	Sig -	0.7746478873239436	0.9649122807017544	0.859375	57.0	"Platinum
Treated"
73	Sig +	0.9534883720930233	0.7192982456140351	0.8200000000000001	57.0	"Platinum
Treated"
74	Sig -	0.825	0.8918918918918919	0.8571428571428571	37.0	TopRQ
75	Sig +	0.8823529411764706	0.8108108108108109	0.8450704225352113	37.0	TopRQ
76	Sig -	1.0	1.0	1.0	22.0	Sig+
77	Sig +	1.0	1.0	1.0	22.0	Sig+
78	Sig -	0.8125	0.8666666666666667	0.8387096774193549	15.0	Sig-
79	Sig +	0.8571428571428571	0.8	0.8275862068965518	15.0	Sig-
80	Sig -	0.7868852459016393	0.8421052631578947	0.8135593220338982	57.0	"Platinum
Treated"
81	Sig +	0.8301886792452831	0.7719298245614035	0.8	57.0	"Platinum
Treated"
82	Sig -	0.875	0.9459459459459459	0.9090909090909091	37.0	TopRQ
83	Sig +	0.9411764705882353	0.8648648648648649	0.9014084507042254	37.0	TopRQ
84	Sig -	0.9545454545454546	0.9545454545454546	0.9545454545454546	22.0	Sig+
85	Sig +	0.9545454545454546	0.9545454545454546	0.9545454545454546	22.0	Sig+
86	Sig -	0.7333333333333333	0.7333333333333333	0.7333333333333333	15.0	Sig-
87	Sig +	0.7333333333333333	0.7333333333333333	0.7333333333333333	15.0	Sig-
88	Sig -	0.796875	0.8947368421052632	0.8429752066115702	57.0	"Platinum
Treated"
89	Sig +	0.88	0.7719298245614035	0.822429906542056	57.0	"Platinum
Treated"
90	Sig -	0.8571428571428571	0.972972972972973	0.9113924050632912	37.0	TopRQ
91	Sig +	0.96875	0.8378378378378378	0.8985507246376812	37.0	TopRQ
92	Sig -	0.9545454545454546	0.9545454545454546	0.9545454545454546	22.0	Sig+
93	Sig +	0.9545454545454546	0.9545454545454546	0.9545454545454546	22.0	Sig+
94	Sig -	0.7777777777777778	0.9333333333333333	0.8484848484848485	15.0	Sig-
95	Sig +	0.9166666666666666	0.7333333333333333	0.8148148148148148	15.0	Sig-
96	Sig -	0.7692307692307693	0.8771929824561403	0.819672131147541	57.0	"Platinum
Treated"
97	Sig +	0.8571428571428571	0.7368421052631579	0.7924528301886793	57.0	"Platinum
Treated"
98	Sig -	0.868421052631579	0.8918918918918919	0.88	37.0	TopRQ
99	Sig +	0.8888888888888888	0.8648648648648649	0.8767123287671232	37.0	TopRQ
100	Sig -	1.0	1.0	1.0	22.0	Sig+
101	Sig +	1.0	1.0	1.0	22.0	Sig+
102	Sig -	0.8125	0.8666666666666667	0.8387096774193549	15.0	Sig-
103	Sig +	0.8571428571428571	0.8	0.8275862068965518	15.0	Sig-
104	Sig -	0.7903225806451613	0.8596491228070176	0.823529411764706	57.0	"Platinum
Treated"
105	Sig +	0.8461538461538461	0.7719298245614035	0.8073394495412844	57.0	"Platinum
Treated"
106	Sig -	0.8780487804878049	0.972972972972973	0.923076923076923	37.0	TopRQ
107	Sig +	0.9696969696969697	0.8648648648648649	0.9142857142857143	37.0	TopRQ
108	Sig -	1.0	0.9545454545454546	0.9767441860465117	22.0	Sig+
109	Sig +	0.9565217391304348	1.0	0.9777777777777777	22.0	Sig+
110	Sig -	0.7647058823529411	0.8666666666666667	0.8125	15.0	Sig-
111	Sig +	0.8461538461538461	0.7333333333333333	0.7857142857142856	15.0	Sig-
112	Sig -	0.7868852459016393	0.8421052631578947	0.8135593220338982	57.0	"Platinum
Treated"
113	Sig +	0.8301886792452831	0.7719298245614035	0.8	57.0	"Platinum
Treated"
114	Sig -	0.875	0.9459459459459459	0.9090909090909091	37.0	TopRQ
