Condition	Zero	One	Two+	Type	Status
All	17.0	14.0	11.0	HGG	absolute_low
Primary-Naive	9.0	6.0	7.0	HGG	absolute_low
Primary-Treated	1.0	3.0	1.0	HGG	absolute_low
Advanced-Naive	0.0	0.0	0.0	HGG	absolute_low
Advanced-Treated	7.0	5.0	3.0	HGG	absolute_low
All	20.0	5.0	6.0	BALL	absolute_low
Primary-Naive	7.0	3.0	3.0	BALL	absolute_low
Primary-Treated	3.0	0.0	0.0	BALL	absolute_low
Advanced-Naive	0.0	0.0	0.0	BALL	absolute_low
Advanced-Treated	10.0	2.0	3.0	BALL	absolute_low
All	20.0	8.0	2.0	EWS	absolute_low
Primary-Naive	7.0	3.0	1.0	EWS	absolute_low
Primary-Treated	1.0	0.0	0.0	EWS	absolute_low
Advanced-Naive	0.0	0.0	0.0	EWS	absolute_low
Advanced-Treated	12.0	5.0	1.0	EWS	absolute_low
All	0.0	6.0	20.0	DMG	absolute_low
Primary-Naive	0.0	6.0	18.0	DMG	absolute_low
Primary-Treated	0.0	0.0	1.0	DMG	absolute_low
Advanced-Naive	0.0	0.0	0.0	DMG	absolute_low
Advanced-Treated	0.0	0.0	1.0	DMG	absolute_low
All	11.0	8.0	6.0	ERMS	absolute_low
Primary-Naive	4.0	4.0	1.0	ERMS	absolute_low
Primary-Treated	1.0	0.0	2.0	ERMS	absolute_low
Advanced-Naive	0.0	0.0	0.0	ERMS	absolute_low
Advanced-Treated	6.0	4.0	3.0	ERMS	absolute_low
All	20.0	1.0	0.0	ARMS	absolute_low
Primary-Naive	6.0	1.0	0.0	ARMS	absolute_low
Primary-Treated	2.0	0.0	0.0	ARMS	absolute_low
Advanced-Naive	1.0	0.0	0.0	ARMS	absolute_low
Advanced-Treated	11.0	0.0	0.0	ARMS	absolute_low
All	11.0	6.0	1.0	WT	absolute_low
Primary-Naive	0.0	1.0	0.0	WT	absolute_low
Primary-Treated	4.0	1.0	0.0	WT	absolute_low
Advanced-Naive	1.0	0.0	0.0	WT	absolute_low
Advanced-Treated	6.0	4.0	1.0	WT	absolute_low
All	15.0	2.0	0.0	EPD	absolute_low
Primary-Naive	4.0	1.0	0.0	EPD	absolute_low
Primary-Treated	2.0	0.0	0.0	EPD	absolute_low
Advanced-Naive	0.0	0.0	0.0	EPD	absolute_low
Advanced-Treated	9.0	1.0	0.0	EPD	absolute_low
All	8.0	2.0	6.0	AML	absolute_low
Primary-Naive	3.0	1.0	3.0	AML	absolute_low
Primary-Treated	0.0	0.0	0.0	AML	absolute_low
Advanced-Naive	0.0	0.0	0.0	AML	absolute_low
Advanced-Treated	5.0	1.0	3.0	AML	absolute_low
All	12.0	1.0	2.0	US	absolute_low
Primary-Naive	8.0	1.0	1.0	US	absolute_low
Primary-Treated	3.0	0.0	0.0	US	absolute_low
Advanced-Naive	0.0	0.0	0.0	US	absolute_low
Advanced-Treated	1.0	0.0	1.0	US	absolute_low
All	12.0	1.0	0.0	MRT	absolute_low
Primary-Naive	6.0	1.0	0.0	MRT	absolute_low
Primary-Treated	2.0	0.0	0.0	MRT	absolute_low
Advanced-Naive	1.0	0.0	0.0	MRT	absolute_low
Advanced-Treated	3.0	0.0	0.0	MRT	absolute_low
All	7.0	3.0	2.0	MBL	absolute_low
Primary-Naive	3.0	0.0	0.0	MBL	absolute_low
Primary-Treated	2.0	1.0	0.0	MBL	absolute_low
Advanced-Naive	0.0	0.0	0.0	MBL	absolute_low
Advanced-Treated	2.0	2.0	2.0	MBL	absolute_low
All	5.0	3.0	2.0	TALL	absolute_low
Primary-Naive	3.0	1.0	0.0	TALL	absolute_low
Primary-Treated	1.0	0.0	0.0	TALL	absolute_low
Advanced-Naive	0.0	0.0	0.0	TALL	absolute_low
Advanced-Treated	1.0	2.0	2.0	TALL	absolute_low
All	0.7727272727272727	0.2159090909090909	0.011363636363636364	NBL	relative_all
Primary-Naive	0.625	0.375	0.0	NBL	relative_all
Primary-Treated	0.7586206896551724	0.2413793103448276	0.0	NBL	relative_all
Advanced-Naive	0.5	0.5	0.0	NBL	relative_all
Advanced-Treated	0.8163265306122449	0.16326530612244897	0.02040816326530612	NBL	relative_all
All	0.35185185185185186	0.25925925925925924	0.3888888888888889	HGG	relative_all
Primary-Naive	0.30303030303030304	0.18181818181818182	0.5151515151515151	HGG	relative_all
Primary-Treated	0.3333333333333333	0.5	0.16666666666666666	HGG	relative_all
Advanced-Naive	0.0	0.0	0.0	HGG	relative_all
Advanced-Treated	0.4666666666666667	0.3333333333333333	0.2	HGG	relative_all
All	0.7272727272727273	0.25	0.022727272727272728	OST	relative_all
Primary-Naive	0.8	0.2	0.0	OST	relative_all
Primary-Treated	0.8	0.2	0.0	OST	relative_all
Advanced-Naive	1.0	0.0	0.0	OST	relative_all
Advanced-Treated	0.6521739130434783	0.30434782608695654	0.043478260869565216	OST	relative_all
All	0.5882352941176471	0.20588235294117646	0.20588235294117646	BALL	relative_all
Primary-Naive	0.5384615384615384	0.23076923076923078	0.23076923076923078	BALL	relative_all
Primary-Treated	1.0	0.0	0.0	BALL	relative_all
Advanced-Naive	0.0	0.0	0.0	BALL	relative_all
Advanced-Treated	0.5555555555555556	0.2222222222222222	0.2222222222222222	BALL	relative_all
All	0.6666666666666666	0.26666666666666666	0.06666666666666667	EWS	relative_all
Primary-Naive	0.6363636363636364	0.2727272727272727	0.09090909090909091	EWS	relative_all
Primary-Treated	1.0	0.0	0.0	EWS	relative_all
Advanced-Naive	0.0	0.0	0.0	EWS	relative_all
Advanced-Treated	0.6666666666666666	0.2777777777777778	0.05555555555555555	EWS	relative_all
All	0.46153846153846156	0.3076923076923077	0.23076923076923078	ERMS	relative_all
Primary-Naive	0.4444444444444444	0.4444444444444444	0.1111111111111111	ERMS	relative_all
Primary-Treated	0.3333333333333333	0.0	0.6666666666666666	ERMS	relative_all
Advanced-Naive	0.0	0.0	0.0	ERMS	relative_all
Advanced-Treated	0.5	0.2857142857142857	0.21428571428571427	ERMS	relative_all
All	0.0	0.23076923076923078	0.7692307692307693	DMG	relative_all
Primary-Naive	0.0	0.25	0.75	DMG	relative_all
Primary-Treated	0.0	0.0	1.0	DMG	relative_all
Advanced-Naive	0.0	0.0	0.0	DMG	relative_all
Advanced-Treated	0.0	0.0	1.0	DMG	relative_all
All	0.9523809523809523	0.047619047619047616	0.0	ARMS	relative_all
Primary-Naive	0.8571428571428571	0.14285714285714285	0.0	ARMS	relative_all
Primary-Treated	1.0	0.0	0.0	ARMS	relative_all
Advanced-Naive	1.0	0.0	0.0	ARMS	relative_all
Advanced-Treated	1.0	0.0	0.0	ARMS	relative_all
All	0.6111111111111112	0.3333333333333333	0.05555555555555555	WT	relative_all
Primary-Naive	0.0	1.0	0.0	WT	relative_all
Primary-Treated	0.8	0.2	0.0	WT	relative_all
Advanced-Naive	1.0	0.0	0.0	WT	relative_all
Advanced-Treated	0.5454545454545454	0.36363636363636365	0.09090909090909091	WT	relative_all
All	0.47058823529411764	0.11764705882352941	0.4117647058823529	AML	relative_all
Primary-Naive	0.42857142857142855	0.14285714285714285	0.42857142857142855	AML	relative_all
Primary-Treated	0.0	0.0	0.0	AML	relative_all
Advanced-Naive	0.0	0.0	0.0	AML	relative_all
Advanced-Treated	0.5	0.1	0.4	AML	relative_all
All	0.8823529411764706	0.11764705882352941	0.0	EPD	relative_all
Primary-Naive	0.8	0.2	0.0	EPD	relative_all
Primary-Treated	1.0	0.0	0.0	EPD	relative_all
Advanced-Naive	0.0	0.0	0.0	EPD	relative_all
Advanced-Treated	0.9	0.1	0.0	EPD	relative_all
All	0.75	0.0625	0.1875	US	relative_all
