Samples	Signatures	Mutations
LKCP-T000801-030437-01-01-01-D1	SBS1	0
LKCP-T000802-236863-01-01-01-R1	SBS1	0
LKCP-T000902-239174-01-06-01-D1	SBS1	0
LKCP-T001002-239333-01-06-01-D1	SBS1	0
LKCP-T001101-030632-01-06-01-D1	SBS1	0
LKCP-T001601-030978-01-02-01-D1	SBS1	0
LKCP-T001701-030976-01-04-01-R1	SBS1	0
LKCP-T001901-031281-01-04-01-R1	SBS1	0
LKCP-T002201-031482-01-01-01-R1	SBS1	0
LKCP-T002701-167650-01-03-01-P1	SBS1	0
LKCP-T002801-167757-01-01-01-R1	SBS1	0
LKCP-T002901-167990-01-04-01-R1	SBS1	0
LKCP-T003301-172592-01-01-01-D1	SBS1	0
LKCP-T003401-174216-01-01-01-R1	SBS1	0
LKCP-T004001-176166-06-06-01-D1	SBS1	0
LKCP-T004301-178339-01-01-01-R1	SBS1	0
LKCP-T004401-235152-01-01-01-D1	SBS1	0
LKCP-T004501-236339-01-02-05-R1	SBS1	0
LKCP-T004601-236658-01-04-01-D1	SBS1	0
LKCP-T004801-237803-03-01-01-D1	SBS1	0
LKCP-T004901-238554-01-02-01-D1	SBS1	0
LKCP-T005201-239954-01-01-01-D1	SBS1	0
LKCP-T005401-240316-01-04-01-R1	SBS1	0
I-H-108298-T1-1-D1-1	SBS1	0
I-H-108317-T1-1-D1-1	SBS1	0
I-H-108333-T2-2-D1-1	SBS1	0
I-H-121266-T1-2-D1-1	SBS1	0
I-H-133672-T1-2-D1-1	SBS1	0
I-H-133675-T1-2-D1-1	SBS1	0
I-H-134733-T3-2-D1-1	SBS1	0
I-H-134757-T1-1-D1-1	SBS1	0
I-H-135065-T1-1-D1-1	SBS1	0
I-H-135074-T1-2-D1-1	SBS1	0
I-H-135076-T1-1-D1-1	SBS1	0
I-H-135088-T1-2-D1-1	SBS1	0
I-H-135387-T1-1-D1-1	SBS1	0
I-H-135392-T1-1-D1-1	SBS1	0
I-H-135393-T1-1-D1-1	SBS1	0
I-H-135420-T1-2-D1-1	SBS1	0
I-H-135963-T1-1-D1-1	SBS1	0
I-H-135965-T1-1-D1-1	SBS1	0
I-H-135967-T1-2-D1-1	SBS1	0
I-H-136134-T1-1-D1-1	SBS1	0
I-H-136375-T1-1-D1-1	SBS1	0
I-H-136428-T1-1-D1-1	SBS1	0
IID_H135068_T05_01_WG01	SBS1	0
IID_H136433_T07_01_WG01	SBS1	0
IID_H136641_T01_01_WG01	SBS1	0
IID_H156409_T01_01_WG01	SBS1	0
IID_H156416_T01_01_WG01	SBS1	0
IID_H158184_T01_01_WG01	SBS1	0
IID_H158186_T01_01_WG01	SBS1	0
IID_H158223_T01_01_WG01	SBS1	0
IID_H158493_T01_01_WG01	SBS1	0
KiCS0002_321321	SBS2	0
KiCS0003_20_15220_A_02_00	SBS2	0
KiCS0005_300238	SBS2	0
KiCS0005_4677	SBS2	0
KiCS0007_302948	SBS2	0
KiCS0008_289185	SBS2	0
KiCS0010_270645	SBS2	51
KiCS0010_270647	SBS2	71
KiCS0011_19_24259_A_02_00	SBS2	0
KiCS0011_270648	SBS2	0
KiCS0013_319375	SBS2	0
KiCS0015_288017	SBS2	0
KiCS0016_270650	SBS2	0
KiCS0017_270651	SBS2	0
KiCS0018_270652	SBS2	0
KiCS0024_272790	SBS2	0
KiCS0025_272791	SBS2	0
KiCS0025_307284	SBS2	0
KiCS0029_274194	SBS2	0
KiCS0030_273368	SBS2	0
KiCS0035_18_2434_A_03_00	SBS2	0
KiCS0035_270452	SBS2	0
KiCS0035_270453	SBS2	0
KiCS0035_270454	SBS2	0
KiCS0036_275798	SBS2	0
KiCS0037_283114	SBS2	0
KiCS0038_287533	SBS2	0
KiCS0038_305256	SBS2	0
KiCS0038_310410	SBS2	0
KiCS0041_317512	SBS2	0
KiCS0042_284388	SBS2	0
KiCS0044_285046	SBS2	0
KiCS0045_288555	SBS2	0
KiCS0048_18_753	SBS2	0
KiCS0048_290132	SBS2	0
KiCS0050_290492	SBS2	0
KiCS0051_289184	SBS2	0
KiCS0055_318143	SBS2	0
KiCS0059_291150	SBS2	0
KiCS0061_290886	SBS2	0
KiCS0066_301446	SBS2	0
KiCS0067_294232	SBS2	0
KiCS0069_295533	SBS2	0
KiCS0069_298700	SBS2	45
KiCS0074_20_10579_A_02_00	SBS2	0
KiCS0076_299020	SBS2	0
KiCS0076_303115	SBS2	0
KiCS0078_297044	SBS2	0
KiCS0079_19_7192	SBS2	0
KiCS0083_298314	SBS2	101
KiCS0085_299826	SBS2	0
KiCS0086_298838	SBS2	0
KiCS0087_297229	SBS2	0
KiCS0087_299908	SBS2	0
KiCS0090_299554	SBS2	0
KiCS0091_18_14899_A_02_00	SBS2	0
KiCS0092_19_18518_A_02_00	SBS2	0
KiCS0092_319682	SBS2	0
KiCS0092_329766	SBS2	0
KiCS0093_305080	SBS2	0
KiCS0093_314662	SBS2	0
KiCS0095_300240	SBS2	0
KiCS0096_302713	SBS2	0
KiCS0098_301163	SBS2	0
KiCS0100_301918	SBS2	0
KiCS0101_303761	SBS2	0
KiCS0103_304770	SBS2	17
KiCS0104_303117	SBS2	0
KiCS0106_302802	SBS2	0
KiCS0107_307283	SBS2	0
KiCS0111_313467	SBS2	0
KiCS0118_312902	SBS2	0
KiCS0119_307642	SBS2	0
KiCS0120_308939	SBS2	0
KiCS0121_311881	SBS2	0
KiCS0125_309277	SBS2	0
KiCS0126_328068	SBS2	0
KiCS0128_310151	SBS2	0
KiCS0143_316365	SBS2	0
KiCS0148_319486	SBS2	307
KiCS0149_316368	SBS2	0
KiCS0154_18_752	SBS2	0
KiCS0155_18_9678	SBS2	0
KiCS0155_314825	SBS2	0
KiCS0158_316457	SBS2	21
KiCS0161_319069	SBS2	0
KiCS0165_317832	SBS2	0
KiCS0168_319321	SBS2	0
KiCS0169_319629	SBS2	0
KiCS0171_19_17562_A_02_00	SBS2	0
KiCS0171_319910	SBS2	0
KiCS0172_321979	SBS2	0
KiCS0179_322516	SBS2	63
KiCS0184_324069	SBS2	16
KiCS0188_334057	SBS2	0
KiCS0193_328018	SBS2	0
KiCS0193_328020	SBS2	0
KiCS0194_328185	SBS2	140
KiCS0195_328069	SBS2	0
KiCS0197_20_1402_A_02_00	SBS2	0
KiCS0197_20_15931_A_02_00	SBS2	0
KiCS0197_326711	SBS2	0
KiCS0198_327862	SBS2	0
KiCS0200_332386	SBS2	0
KiCS0204_19_13898_A_02_00	SBS2	0
KiCS0209_18_1512	SBS2	0
KiCS0212_333928	SBS2	0
KiCS0218_18_1530	SBS2	0
KiCS0218_20_11154_A_02_00	SBS2	0
KiCS0220_18_3730	SBS2	0
KiCS0220_18_8816_A_02_00	SBS2	0
KiCS0221_18_2564	SBS2	0
KiCS0222_18_7573	SBS2	0
KiCS0226_18_2569	SBS2	0
KiCS0228_18_7577	SBS2	0
KiCS0228_18_7579	SBS2	0
KiCS0235_18_4828	SBS2	0
KiCS0238_18_5640	SBS2	0
KiCS0241_19_7197	SBS2	0
KiCS0246_18_11279	SBS2	0
KiCS0249_19_18443	SBS2	0
KiCS0249_20_423_A_02_00	SBS2	0
KiCS0249_20_7122_A_02_00	SBS2	0
KiCS0261_19_18923_A_02_00	SBS2	0
KiCS0266_19_13897_A_02_00	SBS2	0
KiCS0269_18_13380	SBS2	0
KiCS0271_19_13900_A_02_00	SBS2	0
KiCS0272_20_18312_A_02_00	SBS2	0
KiCS0274_19-4026-A-02-00	SBS2	0
KiCS0276_19_5404_A_02_00	SBS2	25
