Samples	SBS1	SBS2	SBS5	SBS7b	SBS13	SBS46
KiCS0197_326711	0	0	8	0	0	0
KiCS0198_327862	0	0	1	4	8	0
KiCS0200_332386	0	0	2	2	0	0
KiCS0204_19_13898_A_02_00	0	0	24	14	0	0
KiCS0209_18_1512	0	0	4	0	0	0
KiCS0212_333928	1	0	20	0	0	0
KiCS0218_18_1530	3	0	1	0	0	0
KiCS0218_20_11154_A_02_00	0	0	9	0	0	0
KiCS0220_18_3730	0	0	3	0	2	0
KiCS0220_18_8816_A_02_00	4	0	19	0	6	0
KiCS0221_18_2564	0	5	0	0	0	0
KiCS0222_18_7573	0	0	10	0	0	0
KiCS0226_18_2569	0	0	8	0	0	0
KiCS0228_18_7577	0	0	13	0	0	0
KiCS0228_18_7579	1	0	352	0	0	0
KiCS0235_18_4828	0	2	8	0	1	0
KiCS0238_18_5640	0	0	1	0	0	7
KiCS0241_19_7197	0	4	15	0	4	0
KiCS0246_18_11279	0	0	4	0	0	0
KiCS0249_19_18443	1	2	10	0	13	0
KiCS0249_20_423_A_02_00	0	0	5	0	0	0
KiCS0249_20_7122_A_02_00	0	0	8	0	0	0
KiCS0261_19_18923_A_02_00	1	0	3	0	0	0
KiCS0266_19_13897_A_02_00	1	0	16	0	0	0
KiCS0269_18_13380	0	0	145	0	0	0
KiCS0271_19_13900_A_02_00	0	0	1	4	0	0
KiCS0272_20_18312_A_02_00	0	0	9	0	0	0
KiCS0274_19-4026-A-02-00	0	3	2	0	0	0
KiCS0276_19_5404_A_02_00	0	25	15	0	33	0
KiCS0277_19_13896_A_02_00	0	0	71	0	0	0
KiCS0277_19_4280_A_02_01	0	0	60	0	0	0
KiCS0282_20_18314_A_02_00	0	0	20	0	0	0
KiCS0283_19_15299_A_02_00	0	0	2	0	2	0
KiCS0285_19_15633_A_02_00	0	0	4	0	0	0
KiCS0289_19_15639_A_02_00	2	0	9	0	0	0
KiCS0292_19_15636_A_02_00	2	0	7	0	0	0
KiCS0293_19_15645_A_02_00	0	4	0	0	0	0
KiCS0295_19_3667_A_02_00	0	1	5	0	0	0
KiCS0296_19_6855	4	31	33	0	10	0
KiCS0298_19_3826	0	0	4	0	0	0
KiCS0298_20_11148_A_02_00	3	0	1	0	0	0
KiCS0299_19_3794	1	0	1149	0	0	0
KiCS0306_19_19567_A_02_00	0	4	0	0	0	0
