ROC curve					PR curve			
curve	fpr	tpr	auc		curve	recall	precision	average_precision
					micro	0.810810811	0.789473684	0.902621063
					micro	0.810810811	0.810810811	0.902621063
					micro	0.783783784	0.805555556	0.902621063
					micro	0.756756757	0.8	0.902621063
					micro	0.72972973	0.794117647	0.902621063
					micro	0.72972973	0.818181818	0.902621063
					micro	0.72972973	0.84375	0.902621063
					micro	0.702702703	0.838709677	0.902621063
					micro	0.675675676	0.833333333	0.902621063
					micro	0.648648649	0.827586207	0.902621063
					micro	0.648648649	0.857142857	0.902621063
					micro	0.648648649	0.888888889	0.902621063
					micro	0.648648649	0.923076923	0.902621063
					micro	0.648648649	0.96	0.902621063
					micro	0.621621622	0.958333333	0.902621063
					micro	0.594594595	0.956521739	0.902621063
					micro	0.567567568	0.954545455	0.902621063
					micro	0.540540541	0.952380952	0.902621063
					micro	0.513513514	0.95	0.902621063
					micro	0.486486486	0.947368421	0.902621063
					micro	0.459459459	0.944444444	0.902621063
					micro	0.432432432	0.941176471	0.902621063
					micro	0.405405405	0.9375	0.902621063
					micro	0.378378378	0.933333333	0.902621063
					micro	0.351351351	0.928571429	0.902621063
					micro	0.351351351	1	0.902621063
					micro	0.324324324	1	0.902621063
					micro	0.297297297	1	0.902621063
					micro	0.27027027	1	0.902621063
					micro	0.243243243	1	0.902621063
					micro	0.216216216	1	0.902621063
					micro	0.189189189	1	0.902621063
					micro	0.162162162	1	0.902621063
					micro	0.135135135	1	0.902621063
					micro	0.108108108	1	0.902621063
					micro	0.081081081	1	0.902621063
					micro	0.054054054	1	0.902621063
					micro	0.027027027	1	0.902621063
					micro	0	1	0.902621063
					chance			0.594594595
