Category	Recall	F1-score	Precision	Status
All	0.8833333333333332	0.8889473684210527	0.9099999999999999	vals
>5%	0.7972222222222222	0.8216479925303455	0.876010101010101	vals
>2%	0.8416666666666666	0.8351461988304093	0.8382323232323232	vals
All	0.16244657241348273	0.10767628720142966	0.10246950765959598	yerr
>5%	0.14285989856248654	0.0881098517204311	0.12502040441565143	yerr
>2%	0.05859728641591382	0.06512272601472922	0.12400296172626697	yerr
