Sample_id	SBS	DBS	ID
KiCS0225_18_2571	1735	30	593
KiCS0226_18_2569	244	2	64
KiCS0227_18_2559	3904	10	392
KiCS0228_18_7579	9411	291	1062
KiCS0228_18_7577	2865	92	452
KiCS0231_18_5970	25939	551	819
KiCS0235_18_4828	479	7	115
KiCS0238_18_5640	1108	10	262
KiCS0239_18_7570	767	10	123
KiCS0240_18_8811	2131	11	222
KiCS0241_19_7197	481	5	105
KiCS0245_18_12071	902	2	120
KiCS0246_18_11279	2100	15	184
KiCS0249_19_18443	2012	19	169
KiCS0249_20_423_A_02_00	2401	48	564
KiCS0249_20_7122_A_02_00	4040	61	1238
KiCS0252_18_9296	307	7	69
KiCS0259_18_12197	1106	8	180
KiCS0261_19_18923_A_02_00	9550	64	4749
KiCS0263_18_15764_A_03_01	11688	84	789
KiCS0266_19_13897_A_02_00	981	7	121
KiCS0269_18_13380	10854	388	733
KiCS0270_19_13895_A_02_00	2455	67	1142
KiCS0271_19_13900_A_02_00	4284	29	619
KiCS0272_20_18312_A_02_00	586	12	190
KiCS0274_19_4026_A_02_00	2010	12	215
KiCS0276_19_5404_A_02_00	14636	364	1238
KiCS0277_19_4280_A_02_00	5338	40	1205
KiCS0277_19_13896_A_02_00	1579	12	272
KiCS0279_19_2126_A_02_00	1549850	1445	35668
KiCS0281_19_23340_A_02_00	455861	10491	37118
KiCS0282_20_18314_A_02_00	6882	48	796
KiCS0282_19_8768_A_02_00	7803	49	416
KiCS0283_19_15299_A_02_00	1314	16	165
KiCS0284_20_18306_A_02_00	1423657	1420	174174
KiCS0285_19_15633_A_02_00	2043	13	125
KiCS0288_20_11147_A_02_00	1562	14	437
KiCS0289_19_15639_A_02_00	380	6	69
KiCS0292_19_15636_A_02_00	793	10	85
KiCS0293_19_15645_A_02_00	1862	15	149
KiCS0295_19_3667_A_02_00	524	7	198
KiCS0295_20_6217_A_02_00	1772	28	333
KiCS0296_19_6855	4691	29	615
KiCS0298_19_3826	1577	23	149
KiCS0298_20_11148_A_02_00	4463	56	422
KiCS0299_19_3794	20435	752	2557
KiCS0302_19_15647_A_02_00	624	8	76
KiCS0306_19_19567_A_02_00	7344	36	464
KiCS0310_19_15653_A_02_00	15301	66	2325
KiCS0312_19_15651_A_02_00	1321	13	151
KiCS0314_19_11045_A_02_00	1058	12	207
KiCS0319_19_11213_A_02_00	1771	6	1072
KiCS0319_19_19753_A_02_00	1870	15	1379
KiCS0320_20_18316_A_02_00	446	14	218
KiCS0323_19_26722_A_02_00	3632	118	3887
KiCS0324_19_15655_A_02_00	5892	65	1058
KiCS0326_19_21779_A_02_00	3259	17	546
KiCS0327_20_75_A_02_00	7328	101	652
KiCS0329_19_12113_A_02_00	1237	17	286
KiCS0332_19_12115_A_02_00	2565	13	266
KiCS0333_19_16938_A_02_00	2983	14	258
KiCS0333_19_16940_A_02_00	1844	23	399
KiCS0334_19_16943_A_02_00	636	11	77
KiCS0336_20_76_A_02_00	1429	8	213
KiCS0337_19_12649_A_02_00	437	15	162
KiCS0339_20_1400_A_02_00	1442	8	298
KiCS0341_19_17403_A_02_00	2155	40	600
KiCS0343_19_13225_A_06_00	3560	91	5982
KiCS0345_20_1395_A_02_00	8237	52	524
KiCS0345_20_11162_A_02_00	32653	2002	1261
KiCS0347_19_17408_A_02_00	485	2	67
KiCS0349_19_17411_A_02_00	14523	401	741
KiCS0350_20_1787_A_02_00	4293	24	339
KiCS0350_19_25243_A_02_00	6420	56	391
KiCS0352_19_17420_A_02_00	1380830	1288	79152
KiCS0354_19_19173_A_02_00	2162	32	1077
KiCS0356_19_17417_A_02_00	2068	20	433
KiCS0358_19_19175_A_02_00	9513	337	1730
KiCS0359_19_18908_A_02_00	2858	8	568
KiCS0361_19_18661_A_02_00	834	8	129
KiCS0362_19_19176_A_02_00	6118	196	1133
KiCS0363_19_21783_A_02_00	4161	95	319
KiCS0363_19_21794_A_02_00	1578	6	248
KiCS0365_19_19570_A_02_00	19292	129	653
KiCS0366_19_20056_A_02_00	1675	4	204
KiCS0366_20_11333_A_02_00	4767	15	920
KiCS0368_20_6000_A_02_00	1025822	1031	153638
KiCS0370_19_21815_A_02_00	4805	82	1003
KiCS0371_19_22172_A_02_00	390	3	83
KiCS0374_20_3760_A_02_00	2007	33	580
KiCS0374_20_3759_A_02_00	2000	19	495
KiCS0375_20_484_A_02_00	7380	149	4757
KiCS0376_19_23808_A_02_00	4633	82	973
KiCS0377_20_18334_A_02_00	2589	25	2303
KiCS0378_19_25245_A_02_00	1699	17	305
KiCS0379_20_18013_A_02_00	707	14	266
KiCS0380_19_25917_A_02_00	2137	21	461
KiCS0383_19_25931_A_02_00	886	13	294
KiCS0385_20_6460_A_02_00	25451	41	4826
KiCS0386_20_425_A_02_00	1956	25	393
KiCS0388_20_8809_A_02_00	844654	884	164521
KiCS0391_20_11161_A_02_00	2304	15	407
KiCS0400_20_1851_A_02_00	374563	8776	23793
KiCS0487_20_20203_A_02_00	2322	22	802
zcc1	3734	16	727
zcc2	2813	13	637
zcc3	6773	88	838
zcc4	3759	17	543
zcc5	9011	105	681
zcc6	2800	14	433
zcc7	6812	42	838
zcc8	6838	74	1049
zcc9	6732	495	412
zcc10	15380	143	19513
zcc11	4512	18	495
zcc12	838	5	295
zcc13	1128	15	280
zcc14	4537	21	479
zcc15	2362	16	388
zcc16	4263	20	588
zcc17	1626	13	301
zcc18	4194	40	443
zcc19	3267	19	311
zcc20	5057	29	661
zcc21	1230	3	342
zcc22	6895	138	536
zcc23	4477	21	480
zcc24	2685	14	489
zcc25	4307	19	620
zcc26	1642	11	263
zcc27	7718	19	598
zcc28	1308	6	380
zcc29	3259	32	565
zcc30	2556	7	595
zcc31	2179	6	377
zcc32	786	3	226
zcc33	3551	22	537
zcc34	1338	8	249
zcc35	7121	86	1167
zcc36	2069	16	407
zcc37	4863	23	1236
zcc38	6529	32	844
zcc39	3818	25	455
zcc40	1763	7	414
zcc41	919	5	330
zcc42	1249	6	343
zcc43	3899	12	492
zcc44	1645	10	534
zcc45	2786	7	635
zcc46	1421	12	328
zcc47	3069	17	411
zcc48	4917	28	628
zcc49	4773	27	601
zcc50	2039	45	634
zcc51	3228	22	319
zcc52	7103	56	764
zcc53	896	11	317
zcc54	2970	11	1071
zcc55	4730	86	424
zcc56	3333	24	901
zcc57	9853	111	539
zcc58	7693	61	1332
zcc59	3010	27	462
zcc60	3723	18	1399
zcc61	7500	23	319
zcc62	2046	9	461
zcc63	7341	85	1063
zcc64	1374	7	298
zcc65	7524	52	1509
zcc66	1934	16	291
zcc67	5722	41	1172
zcc68	1447	7	434
zcc69	2167	15	534
zcc70	4426	29	801
zcc71	1275	5	311
zcc72	1704	13	299
zcc73	1202	4	303
zcc74	16724	199	4836
zcc75	2699	18	464
zcc76	2264	18	775
zcc77	10232	82	633
zcc78	1821	15	617
zcc79	78600	1111	60415
zcc80	14489	20	1473
zcc81	2214	9	430
zcc82	5857	31	1062
zcc83	8190	31	610
zcc84	2740	18	598
zcc85	11526	104	1837
zcc86	733	9	228
zcc87	1935	8	399
zcc88	4746	21	1252
zcc89	3018	13	565
zcc90	5185	26	912
zcc91	632	5	311
zcc92	3108	16	568
zcc93	4642	55	875
zcc94	4191	19	427
zcc95	3403	18	520
zcc96	1211	4	241
zcc97	7521	127	904
zcc98	1078	6	272
zcc279	14037	340	1074
zcc99	3787	29	612
zcc100	3643	16	413
zcc101	2410	13	305
zcc102	3296	22	497
zcc103	2650	13	387
zcc104	1382	8	367
zcc105	41118	483	11966
zcc106	1250	8	305
zcc107	1262	17	243
zcc108	1344	6	246
zcc109	1203	13	248
zcc110	2615	9	569
zcc111	3091	10	547
zcc112	2599	10	410
zcc113	1496	10	426
zcc114	6957	62	796
zcc115	2225	11	403
zcc116	2350	21	439
zcc117	4459	39	375
zcc118	1954	22	431
zcc119	5335	63	896
zcc120	4732	21	1680
zcc121	3996	11	505
zcc122	1016	2	302
zcc123	1463	7	285
zcc124	3623	48	1024
zcc125	1864	24	473
zcc126	1363	20	498
zcc127	3789	16	649
zcc128	2005	17	361
zcc129	2361	8	529
zcc292	27445	889	1846
zcc130	13851	90	655
zcc131	5877	132	1382
zcc132	19304	83	935
zcc133	9273	42	679
zcc134	914	6	284
zcc135	3866	22	785
zcc136	8142	148	1710
zcc137	1341	6	455
zcc138	13803	45	738
zcc139	2801	15	629
zcc140	30383	33	486
zcc141	3670	20	649
zcc142	5582	32	543
zcc143	1005	6	266
zcc144	4183	28	1076
zcc145	1493	7	350
zcc146	3526	17	1084
zcc147	5341	66	561
zcc148	2316	9	304
zcc149	2143	11	529
zcc150	3279	17	650
zcc151	3464	31	406
zcc152	2114	12	482
zcc153	2187	7	447
zcc154	18792	156	759
zcc155	995	6	302
zcc156	6805	57	851
zcc157	2139	7	432
zcc158	4745	67	554
zcc159	2643	16	396
zcc160	6257	190	919
zcc161	1392	11	436
zcc162	1472	6	371
zcc163	6739	71	1147
zcc164	1436	11	312
zcc165	2192	9	496
zcc166	2909	14	528
zcc167	1292	12	264
zcc168	1342	11	341
zcc169	2059	32	350
zcc170	1431	14	487
zcc171	3343	61	646
zcc172	1098	7	367
zcc173	1472	6	264
zcc174	1358	6	332
zcc175	1406	13	274
zcc176	6768	30	1088
zcc177	3600	17	428
zcc178	1519	4	268
zcc331	15270	144	626
zcc179	996	6	261
zcc180	2915	14	507
zcc181	1859	8	305
zcc182	1777	11	340
zcc183	2064	12	330
zcc184	9203	47	425
zcc185	3541	31	414
zcc186	3055	40	470
zcc187	7135	160	1937
zcc188	1777	10	311
zcc189	41693	126	11717
zcc337	3360	41	409
zcc190	4758	46	614
zcc191	13175	196	783
zcc192	2132	12	389
zcc193	3435	17	732
zcc194	4887	31	588
zcc344	8824	195	691
zcc195	655	4	116
zcc196	4046	26	867
zcc197	973	4	287
zcc355	4840	34	438
zcc198	6420	61	891
zcc199	6879	99	474
zcc200	1694	7	296
zcc365	3274	102	837
zcc201	1571	8	443
zcc202	1386	8	304
zcc203	1921	10	347
zcc377	3392	94	1083
zcc204	3283	14	754
zcc380	5679	61	1032
zcc205	5700	29	519
zcc401	2579	58	526
zcc403	9239	221	744
zcc425	482028	668	392992
zcc210	4470	43	546
zcc211	4054	22	591
zcc212	7713	77	958
zcc213	6435	46	557
zcc214	14349	228	732
zcc215	2237	17	385
zcc216	14779	92	1116
zcc217	2046	9	485
zcc218	21502	40	474
zcc219	4155	21	528
zcc220	1732	12	296
zcc221	1653	4	343
zcc222	5697	63	424
zcc206	2985	16	496
zcc207	6141	50	657
zcc223	5962	54	503
zcc224	3181	19	416
zcc225	10968	181	624
zcc226	3215	16	488
zcc227	1921	6	336
zcc228	1486	8	388
zcc229	4152	51	1236
zcc230	2102	10	359
zcc231	1047223	635	25457
zcc232	3956	69	1184
zcc233	20979	641	894
zcc234	10824	42	840
zcc235	6804	18	581
zcc236	44801	251	51026
zcc237	1344	12	279
zcc238	2636	7	410
zcc239	2619	10	402
zcc240	1520	13	393
zcc241	2259	10	423
zcc242	7008	161	550
zcc243	1195	6	274
zcc244	5445	43	1183
zcc245	2950	10	511
zcc246	3190	12	443
zcc247	1546	3	219
zcc248	4449	26	484
zcc249	2689	7	545
zcc250	4756	89	304
zcc251	4474	24	439
zcc252	11258	30	595
zcc208	429970	357	70916
zcc209	1355	4	256
I-H-133672-T1-2-D1-1	2155	8	1423
I-H-134756-T1-1-D1-1	623	2	77
I-H-135065-T1-1-D1-1	4423	10	259
I-H-135076-T1-1-D1-1	1442	28	524
I-H-135088-T1-2-D1-1	7800	124	735
I-H-135420-T1-2-D1-1	4885	77	602
