curve	recall	precision	average_precision
Sig -	1.0	0.40540540540540543	0.7925373821025995
Sig -	1.0	0.4166666666666667	0.7925373821025995
Sig -	1.0	0.42857142857142855	0.7925373821025995
Sig -	1.0	0.4411764705882353	0.7925373821025995
Sig -	1.0	0.45454545454545453	0.7925373821025995
Sig -	1.0	0.46875	0.7925373821025995
Sig -	1.0	0.4838709677419355	0.7925373821025995
Sig -	1.0	0.5	0.7925373821025995
Sig -	1.0	0.5172413793103449	0.7925373821025995
Sig -	1.0	0.5357142857142857	0.7925373821025995
Sig -	1.0	0.5555555555555556	0.7925373821025995
Sig -	1.0	0.5769230769230769	0.7925373821025995
Sig -	1.0	0.6	0.7925373821025995
Sig -	1.0	0.625	0.7925373821025995
Sig -	0.9333333333333333	0.6086956521739131	0.7925373821025995
Sig -	0.8666666666666667	0.5909090909090909	0.7925373821025995
Sig -	0.8	0.5714285714285714	0.7925373821025995
Sig -	0.8	0.6	0.7925373821025995
Sig -	0.8	0.631578947368421	0.7925373821025995
Sig -	0.8	0.6666666666666666	0.7925373821025995
Sig -	0.7333333333333333	0.6470588235294118	0.7925373821025995
Sig -	0.7333333333333333	0.6875	0.7925373821025995
Sig -	0.7333333333333333	0.7333333333333333	0.7925373821025995
Sig -	0.7333333333333333	0.7857142857142857	0.7925373821025995
Sig -	0.7333333333333333	0.8461538461538461	0.7925373821025995
Sig -	0.7333333333333333	0.9166666666666666	0.7925373821025995
Sig -	0.6666666666666666	0.9090909090909091	0.7925373821025995
Sig -	0.6	0.9	0.7925373821025995
Sig -	0.5333333333333333	0.8888888888888888	0.7925373821025995
Sig -	0.4666666666666667	0.875	0.7925373821025995
Sig -	0.4	0.8571428571428571	0.7925373821025995
Sig -	0.3333333333333333	0.8333333333333334	0.7925373821025995
Sig -	0.26666666666666666	0.8	0.7925373821025995
Sig -	0.2	0.75	0.7925373821025995
Sig -	0.13333333333333333	0.6666666666666666	0.7925373821025995
Sig -	0.06666666666666667	0.5	0.7925373821025995
Sig -	0.06666666666666667	1.0	0.7925373821025995
Sig -	0.0	1.0	0.7925373821025995
Sig +	1.0	0.5945945945945946	0.9198729562239882
Sig +	1.0	0.6111111111111112	0.9198729562239882
Sig +	0.9545454545454546	0.6	0.9198729562239882
Sig +	0.9545454545454546	0.6176470588235294	0.9198729562239882
Sig +	0.9545454545454546	0.6363636363636364	0.9198729562239882
Sig +	0.9545454545454546	0.65625	0.9198729562239882
Sig +	0.9545454545454546	0.6774193548387096	0.9198729562239882
Sig +	0.9545454545454546	0.7	0.9198729562239882
Sig +	0.9545454545454546	0.7241379310344828	0.9198729562239882
Sig +	0.9545454545454546	0.75	0.9198729562239882
Sig +	0.9545454545454546	0.7777777777777778	0.9198729562239882
Sig +	0.9545454545454546	0.8076923076923077	0.9198729562239882
Sig +	0.9545454545454546	0.84	0.9198729562239882
Sig +	0.9090909090909091	0.8333333333333334	0.9198729562239882
Sig +	0.8636363636363636	0.8260869565217391	0.9198729562239882
Sig +	0.8181818181818182	0.8181818181818182	0.9198729562239882
Sig +	0.7727272727272727	0.8095238095238095	0.9198729562239882
Sig +	0.7272727272727273	0.8	0.9198729562239882
Sig +	0.7272727272727273	0.8421052631578947	0.9198729562239882
Sig +	0.6818181818181818	0.8333333333333334	0.9198729562239882
Sig +	0.6363636363636364	0.8235294117647058	0.9198729562239882
Sig +	0.5909090909090909	0.8125	0.9198729562239882
Sig +	0.5909090909090909	0.8666666666666667	0.9198729562239882
Sig +	0.5909090909090909	0.9285714285714286	0.9198729562239882
Sig +	0.5909090909090909	1.0	0.9198729562239882
Sig +	0.5454545454545454	1.0	0.9198729562239882
Sig +	0.5	1.0	0.9198729562239882
Sig +	0.45454545454545453	1.0	0.9198729562239882
Sig +	0.4090909090909091	1.0	0.9198729562239882
Sig +	0.36363636363636365	1.0	0.9198729562239882
Sig +	0.3181818181818182	1.0	0.9198729562239882
Sig +	0.2727272727272727	1.0	0.9198729562239882
Sig +	0.22727272727272727	1.0	0.9198729562239882
Sig +	0.18181818181818182	1.0	0.9198729562239882
Sig +	0.13636363636363635	1.0	0.9198729562239882
Sig +	0.09090909090909091	1.0	0.9198729562239882
Sig +	0.045454545454545456	1.0	0.9198729562239882
Sig +	0.0	1.0	0.9198729562239882
micro	1.0	0.5	0.9026210629660023
micro	1.0	0.5068493150684932	0.9026210629660023
micro	1.0	0.5138888888888888	0.9026210629660023
micro	1.0	0.5211267605633803	0.9026210629660023
micro	1.0	0.5285714285714286	0.9026210629660023
micro	1.0	0.5362318840579711	0.9026210629660023
micro	1.0	0.5441176470588235	0.9026210629660023
micro	1.0	0.5522388059701493	0.9026210629660023
micro	1.0	0.5606060606060606	0.9026210629660023
micro	1.0	0.5692307692307692	0.9026210629660023
micro	1.0	0.578125	0.9026210629660023
micro	1.0	0.5873015873015873	0.9026210629660023
micro	1.0	0.5967741935483871	0.9026210629660023
micro	1.0	0.6065573770491803	0.9026210629660023
micro	0.972972972972973	0.6	0.9026210629660023
micro	0.972972972972973	0.6101694915254238	0.9026210629660023
micro	0.972972972972973	0.6206896551724138	0.9026210629660023
micro	0.972972972972973	0.631578947368421	0.9026210629660023
