curve	fpr	tpr	auc
Sig -	0.0	0.0	0.9720496894409938
Sig -	0.0	0.07142857142857142	0.9720496894409938
Sig -	0.0	0.35714285714285715	0.9720496894409938
Sig -	0.043478260869565216	0.35714285714285715	0.9720496894409938
Sig -	0.043478260869565216	1.0	0.9720496894409938
Sig -	1.0	1.0	0.9720496894409938
Sig +	0.0	0.0	0.9720496894409938
Sig +	0.0	0.043478260869565216	0.9720496894409938
Sig +	0.0	0.9565217391304348	0.9720496894409938
Sig +	0.6428571428571429	0.9565217391304348	0.9720496894409938
Sig +	0.6428571428571429	1.0	0.9720496894409938
Sig +	1.0	1.0	0.9720496894409938
micro	0.0	0.0	0.9737034331628927
micro	0.0	0.02702702702702703	0.9737034331628927
micro	0.0	0.5135135135135135	0.9737034331628927
micro	0.02702702702702703	0.5135135135135135	0.9737034331628927
micro	0.02702702702702703	0.9459459459459459	0.9737034331628927
micro	0.05405405405405406	0.9459459459459459	0.9737034331628927
micro	0.05405405405405406	0.972972972972973	0.9737034331628927
micro	0.4864864864864865	0.972972972972973	0.9737034331628927
micro	0.4864864864864865	1.0	0.9737034331628927
micro	1.0	1.0	0.9737034331628927
macro	0.0	0.656832298136646	0.9855522549284363
macro	0.043478260869565216	0.9782608695652174	0.9855522549284363
macro	0.6428571428571429	1.0	0.9855522549284363
macro	1.0	1.0	0.9855522549284363
