	0
HGG	0.476145883863628
BALL	6.215326320856459e-05
NBL	0.03201123682633907
ARMS	0.028935917957457834
EWS	0.521827927111638
AML	0.9074451721646897
EPD	0.01831016828488064
ERMS	0.18308481171763255
OST	0.005964136224211855
